,Unnamed: 0,영화명,감독,제작사,수입사,배급사,개봉일,개봉월,국적,전국스크린수,전국관객수,장르,등급,url,movie_star,배우1,배우2,배우3
974,1162,원라인,양경모,"(주)미인픽쳐스,(주)곽픽쳐스",,(주)넥스트엔터테인먼트월드(NEW),2017-03-29,3,한국,613,433825,범죄,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=원라인%09&section=all&ie=utf8,8.17,임시완,진구,박병은
975,147,파더 앤 도터,가브리엘 무치노,,(주)에이블엔터테인먼트,(주)박수엔터테인먼트,2015-12-10,12,미국,352,58704,드라마,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=파더 앤 도터%09&section=all&ie=utf8,0,아만다사이프리드,아론폴,러셀크로우
976,255,아르고,벤 애플렉,,워너브러더스 코리아(주),워너브러더스 코리아(주),2012-10-31,10,미국,238,140522,스릴러,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=아르고%09&section=all&ie=utf8,8.18,벤애플렉,존굿맨,
977,286,127시간,대니 보일,,이십세기폭스코리아(주),이십세기폭스코리아(주),2011-02-17,2,미국,233,180332,드라마,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=127시간%09&section=all&ie=utf8,8.19,제임스프랭코,,
978,1398,마녀,박훈정,"(주)영화사 금월,(주)페퍼민트앤컴퍼니",,워너브러더스 코리아(주),2018-06-27,6,한국,1117,3186471,미스터리,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=마녀%09&section=all&ie=utf8,8.19,김다미,조민수,박희순
979,111,프랑켄위니,팀 버튼,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2012-10-11,10,미국,226,43978,애니메이션,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=프랑켄위니%09&section=all&ie=utf8,8.2,위노나라이더,캐서린오하라,찰리타핸
980,237,리미트리스,닐 버거,,(주)씨티엔터테인먼트,팝엔터테인먼트,2012-07-12,7,미국,164,120914,미스터리,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=리미트리스%09&section=all&ie=utf8,8.2,브래들리쿠퍼,로버트드니로,애비코니쉬
981,299,굿모닝 에브리원,로저 미첼,,씨제이이앤엠(주),씨제이이앤엠(주),2011-03-17,3,미국,144,202148,드라마,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=굿모닝 에브리원%09&section=all&ie=utf8,8.2,레이첼맥아담스,해리슨포드,다이안키튼
982,437,아이스 에이지: 지구 대충돌,마이크 트메이어,,이십세기폭스코리아(주),이십세기폭스코리아(주),2016-07-20,7,미국,580,553760,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=아이스 에이지: 지구 대충돌%09&section=all&ie=utf8,8.2,존레귀자모,제니퍼로페즈,아담드바인
983,637,해리 포터와 죽음의 성물1,데이빗 예이츠,헤이데이필름,워너브러더스 코리아(주),워너브러더스 코리아(주),2010-12-15,12,미국,718,2809053,미스터리,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=해리 포터와 죽음의 성물1%09&section=all&ie=utf8,8.2,다니엘래드클리프,엠마왓슨,루퍼트그린트
984,643,엑스맨: 아포칼립스,브라이언 싱어,,이십세기폭스코리아(주),이십세기폭스코리아(주),2016-05-25,5,미국,1262,2938818,액션,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=엑스맨: 아포칼립스%09&section=all&ie=utf8,8.2,제임스맥어보이,마이클패스벤더,제니퍼로렌스
