영화명,개봉일,상영횟수,상영점유율
젓가락,2010-10-28,172,0.00 
희망의 별 - 이퀘지레템바,2010-10-07,172,0.00 
감동과의 재회전,,172,0.00 
줄리 & 줄리아,2009-12-10,170,0.00 
카이지,2010-08-19,165,0.00 
미션,1986-12-24,162,0.00 
유키와 니나,2010-07-15,158,0.00 
천국의 속삭임,2009-12-17,156,0.00 
용서,2010-12-05,152,0.00 
친구사이?,2009-12-17,151,0.00 
맛있는 인생,2010-10-28,151,0.00 
푸른 수염,2010-04-01,150,0.00 
"빗자루, 금붕어 되다",2010-09-30,147,0.00 
맨 온 와이어,2010-02-04,142,0.00 
스카이 크롤러,2010-10-28,138,0.00 
오디션,,136,0.00 
경,2010-04-29,134,0.00 
심장이 뛴다,2011-01-05,133,0.00 
남극의 쉐프,2010-02-11,129,0.00 
살아있는 야생탐험,2009-05-11,121,0.00 
제 4회 서울국제가족영상축제(SIFFF2010),2010-10-27,117,0.00 
여덟 번의 감정,2010-09-30,116,0.00 
J-MOVIE 썸머 페스타,,109,0.00 
에반게리온: 파,2009-12-03,108,0.00 
우리들과 경찰아저씨의 700일 전쟁,2010-04-15,105,0.00 
2010칸국제광고제 수상작페스티벌,2010-10-07,105,0.00 
페티쉬,2010-11-25,104,0.00 
소명,2009-04-02,102,0.00 
행복한 울릉인,2010-02-25,102,0.00 
걸프렌즈,2009-12-17,100,0.00 
7월 32일,2010-04-22,99,0.00 
케로로 더 무비: 드래곤 워리어,2009-04-30,98,0.00 
블러디쉐이크,2010-05-27,97,0.00 
마녀의 관,2010-03-04,97,0.00 
첫사랑 열전,2010-05-05,96,0.00 
제7회 서울환경영화제[2010.05.19-05.26],2010-05-19,95,0.00 
시스터 스마일,2010-04-29,94,0.00 
웰컴,2009-12-10,92,0.00 
2010년 시네마테크의 친구들 영화제,2010-01-15,91,0.00 
제프 벡 로니스콧 라이브,2010-07-22,90,0.00 
마마 앤드 파파,2010-05-20,89,0.00 
세이브 어 라이프,2010-11-11,89,0.00 
2010핑크영화제,,87,0.00 
나를 닮은 얼굴,2010-09-30,84,0.00 
카페 느와르,2010-12-30,83,0.00 
시크릿,2009-12-03,81,0.00 
SICAF2010 서울국제만화애니메이션페스티벌,,80,0.00 
2008 서태지 심포니 위드 톨가 카쉬프 로열필하모닉,2010-01-22,80,0.00 
플랜 B,2010-06-17,79,0.00 
시네마 디지털 서울 2010,2010-08-18,79,0.00 
분홍돌고래,2010-07-01,77,0.00 
"Just The Beginning, ‘1+1=! 영화제’",,76,0.00 
쉬즈 더 원,2010-07-15,73,0.00 
2010 시네바캉스 서울,2010-07-30,72,0.00 
여행,2010-05-20,72,0.00 
서유기 월광보합,1995-09-16,71,0.00 
더 문,2009-11-26,71,0.00 
2009 나다의 마지막 프로포즈,,71,0.00 
더 코브: 슬픈 돌고래의 진실,2009-10-29,70,0.00 
당신은 아름답다,2010-08-26,69,0.00 
서유기 선리기연,,69,0.00 
제9회 미쟝센 단편영화제(2010),,67,0.00 
러브 송,2010-04-08,66,0.00 
아녜스 바르다 회고전,,66,0.00 
하이자오 7번지,2010-03-18,66,0.00 
G20성공기원 영화대축제,2010-10-28,65,0.00 
뭘 또 그렇게까지,2010-04-29,63,0.00 
스프링 뮤직 필름 페스티벌,,62,0.00 
"괜찮아, 정말 괜찮아",2010-05-20,61,0.00 
서울,2010-04-22,60,0.00 
크리스마스 캐롤,2009-11-26,60,0.00 
