"영화명","감독","제작사","수입사","배급사","개봉일","개봉월","국적","전국스크린수","전국관객수","장르","등급","배우1","배우2","배우3","별점","감독점수","제작사점수","수입사점수","배우1점수","배우2점수","배우3점수"
"포레스트:죽음의숲","제이슨자다","","유니버설픽쳐스인터내셔널코리아(유)","유니버설픽쳐스인터내셔널코리아(유)","2016-03-30",3,"미국",312,50631,"공포(호러)","12세이상관람가","나탈리도머","테일러키니","오자와유키요시",5.1,50631,762553.945321993,778770.556521739,50631,50631,50631
"령:저주받은사진","아사토마리","","(주)스톰픽쳐스코리아","(주)스톰픽쳐스코리아","2015-06-04",6,"3국",253,35984,"공포(호러)","15세이상관람가","나카죠아야미","모리카와아오이","고지마후지코",5.15,35984,762553.945321993,27013,35984,35984,35984
"극장판파워레인저:애니멀포스VS닌자포스미래에서온메시지","타케모토노보루","","대원미디어(주)","(주)넥스트엔터테인먼트월드(NEW)","2017-11-09",11,"3국",370,65895,"액션","전체관람가","나카오마사키","야나기미키","난바쇼헤이",8.66,88333,762553.945321993,168973.310344828,65895,65895,65895
"사요나라이츠카","이재한","(주)투베어픽쳐스,(주)스파이로필름","","씨제이엔터테인먼트","2010-04-15",4,"한국",31,23605,"드라마","청소년관람불가","나카야마미호","니시지마히데토시","이시다유리코",7.5,2621506,23605,1677501.34942085,23605,23605,23605
"다이애나","올리버히르비겔","","유성에프이엔터프라이즈(주),(주)퓨어픽쳐스인터내셔널코리아","(주)영화사빅","2014-03-06",3,"3국",279,56872,"드라마","15세이상관람가","나오미왓츠","","",7.44,56872,762553.945321993,56872,56872,726970.612244898,957932.33604336
"육혈포강도단","강효진","(주)전망좋은영화사","","롯데쇼핑㈜롯데엔터테인먼트","2010-03-18",3,"한국",319,1233582,"코미디","15세이상관람가","나문희","김수미","김혜옥",7.55,1108923.5,1075550.5,1677501.34942085,2256912.5,1233582,1233582
"아이캔스피크","김현석","주식회사영화사시선,(주)명필름","","롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스","2017-09-21",9,"한국",1140,3280243,"코미디","12세이상관람가","나문희","이제훈","",9.35,2147585.75,3280243,1677501.34942085,2256912.5,2497067,957932.33604336
"코쿠리코언덕에서","미야자키고로","","대원미디어(주)","씨제이이앤엠(주)","2011-09-29",9,"3국",227,197408,"애니메이션","12세이상관람가","나가사와마사미","오카다준이치","",6.05,197408,762553.945321993,168973.310344828,197408,197408,957932.33604336
"우아한거짓말","이한","(주)유비유필름,(주)무비락","","CGV아트하우스","2014-03-13",3,"한국",555,1613392,"드라마","12세이상관람가","김희애","고아성","김유정",8.36,2664446,1613392,1677501.34942085,971340,1341414,818870
"허스토리","민규동","(주)수필름","","(주)넥스트엔터테인먼트월드(NEW)","2018-06-27",6,"한국",696,329288,"드라마","12세이상관람가","김희애","김해숙","",9.34,1588726.25,766181.428571429,1677501.34942085,971340,520078.25,957932.33604336
"여중생A","이경섭","(주)영화사울림,네이버웹툰주식회사","","롯데컬처웍스(주)롯데엔터테인먼트","2018-06-20",6,"한국",479,97851,"드라마","12세이상관람가","김환희","수호","",6.51,97851,97851,1677501.34942085,97851,97851,957932.33604336
"차이나타운","한준희","폴룩스픽쳐스(주)","","CGV아트하우스","2015-04-29",4,"한국",551,1472006,"범죄","청소년관람불가","김혜수","김고은","엄태구",4.73,1472006,1472006,1677501.34942085,1272955.33333333,815505.2,1472006
"미옥","이안규","(주)영화사소중한","","씨네그루(주)키다리이엔티","2017-11-09",11,"한국",635,238587,"범죄","청소년관람불가","김혜수","이선균","",5.03,238587,238587,1677501.34942085,1272955.33333333,1889658,957932.33604336
"굿바이싱글","김태곤","호두앤유엔터테인먼트(주),(주)영화사람","","(주)쇼박스","2016-06-29",6,"한국",841,2108273,"코미디","15세이상관람가","김혜수","마동석","김현수",8.1,2108273,2108273,1677501.34942085,1272955.33333333,1695430,2108273
"베이블레이드버스트갓:갓발키리의탄생","야마구치켄타로","","(주)영실업","씨제이이앤엠(주)","2017-06-01",6,"3국",198,108896,"애니메이션","전체관람가","김현지","한신","김보영",7.46,108896,762553.945321993,108896,108896,108896,108896
"친정엄마","유성엽","(주)동아수출공사,아일랜드픽처스(주)","","(주)싸이더스","2010-04-22",4,"한국",276,478822,"드라마","전체관람가","김해숙","박진희","",9.26,478822,478822,1677501.34942085,478822,478822,957932.33604336
"명량","김한민","(주)빅스톤픽쳐스","","씨제이이앤엠(주)","2014-07-30",7,"한국",1587,17613682,"사극","15세이상관람가","김한민","오타니료헤이","이해영",4.91,8364068.33333333,9129802,1677501.34942085,17613682,17613682,17613682
"노아의방주:남겨진녀석들","토비젠켈","","(주)스마일이엔티","씨네그루(주)다우기술","2015-04-30",4,"3국",436,219621,"애니메이션","전체관람가","김하영","배진홍","윤세웅",8.3,219621,762553.945321993,171219.5,219621,219621,219621
"너는펫","김병곤","컴어나더(주)","","롯데쇼핑㈜롯데엔터테인먼트","2011-11-10",11,"한국",341,540972,"멜로/로맨스","12세이상관람가","김하늘","장근석","",6.25,540972,540972,1677501.34942085,1451939,540972,957932.33604336
"그랑프리","양윤호","(주)네버엔딩스토리","","(주)싸이더스","2010-09-16",9,"한국",235,170446,"드라마","12세이상관람가","김태희","양동근","",7.28,170446,170446,1677501.34942085,170446,838765,957932.33604336
"리틀포레스트","임순례","(주)영화사수박","","메가박스중앙(주)플러스엠","2018-02-28",2,"한국",884,1505512,"드라마","전체관람가","김태리","류준열","문소리",8.75,1354356.66666667,1395207.5,1677501.34942085,1505512,2235561.66666667,1505512
"슈퍼빼꼼:스파이대작전","임아론","(합)알지애니메이션스튜디오","","메가박스중앙(주)플러스엠","2017-05-03",5,"한국",358,97005,"애니메이션","전체관람가","김태균","최정현","",8.34,97005,97005,1677501.34942085,97005,97005,957932.33604336
"미운오리새끼","곽경택","(주)트리니티엔터테인먼트","","롯데쇼핑㈜롯데엔터테인먼트","2012-08-30",8,"한국",167,45454,"드라마","15세이상관람가","김준구","오달수","",8.71,1378888.8,1304897,1677501.34942085,45454,2366227.8,957932.33604336
"방자전","김대우","(주)바른손이앤에이,시오필름(주),(주)더타워픽쳐스","","씨제이엔터테인먼트","2010-06-02",6,"한국",512,3035116,"사극","청소년관람불가","김주혁","류승범","조여정",7.37,2238540,3035116,1677501.34942085,955928.25,1983084.25,2238540
"적과의동침","박건용","(주)알지엔터웍스","","(주)쇼박스","2011-04-27",4,"한국",391,243094,"드라마","12세이상관람가","김주혁","정려원","유해진",7.53,243094,243094,1677501.34942085,955928.25,406548,5324328.14285714
"커플즈","정용기","시오필름(주),(주)바른손이앤에이","","(주)싸이더스","2011-11-02",11,"한국",387,351779,"멜로/로맨스","15세이상관람가","김주혁","이시영","이윤지",7.93,755900,351779,1677501.34942085,955928.25,351779,351779
"투혼","김상진","㈜감독의집,(주)시네마제니스","","(주)시너지하우스(시너지),롯데쇼핑㈜롯데엔터테인먼트","2011-10-06",10,"한국",356,193724,"드라마","전체관람가","김주혁","김선아","오재무",7.94,337940,193724,1677501.34942085,955928.25,193724,193724
"더데이","백창주","(주)씨제스엔터테인먼트","","롯데쇼핑㈜롯데시네마","2012-02-23",2,"한국",30,24163,"다큐멘터리","전체관람가","김재중","박유천","김준수",8.92,24163,24163,1677501.34942085,24163,745496.5,24163
"볼츠와블립","피터레페니오티스","(주)레드로버,툰박스엔터테인먼트","","씨제이이앤엠(주)","2012-02-23",2,"한국",61,15386,"애니메이션","전체관람가","김일","최정호","",7.68,246889,300501.666666667,1677501.34942085,15386,15386,957932.33604336
"강철대오:구국의철가방","육상효","스페이스엠(주)","","롯데쇼핑㈜롯데엔터테인먼트","2012-10-25",10,"한국",366,233211,"코미디","15세이상관람가","김인권","유다인","조정석",6.41,233211,233211,1677501.34942085,413469,233211,2041322
"전국노래자랑","이종필","(주)인앤인픽쳐스","","롯데쇼핑㈜롯데엔터테인먼트","2013-05-01",5,"한국",581,963634,"코미디","12세이상관람가","김인권","류현경","김수미",8,640569.5,963634,1677501.34942085,413469,963634,963634
"약장수","조치언","(주)26컴퍼니","","(주)대명문화공장,(주)나이너스엔터테인먼트","2015-04-23",4,"한국",282,43562,"드라마","15세이상관람가","김인권","박철민","이주실",8.61,43562,109725.5,1677501.34942085,413469,43562,43562
"하모니","강대규","(주)제이케이필름","","씨제이엔터테인먼트","2010-01-28",1,"한국",405,3068544,"드라마","12세이상관람가","김윤진","나문희","강예원",9.06,3068544,5414008.5,1677501.34942085,1658547.75,5862470.5,3068544
"이웃사람","김휘","영화사무쇠팔,플로우식스(주),자이온이엔티(주),(주)누리픽쳐스,히트박스,(주)미스터로맨스","","롯데쇼핑㈜롯데엔터테인먼트","2012-08-22",8,"한국",600,2434099,"스릴러","청소년관람불가","김윤진","마동석","천호진",7.52,1277450.5,2434099,1677501.34942085,1658547.75,1695430,925484.75
"심장이뛴다","윤재근","(주)오죤필름,(유)대결문화산업전문회사","","롯데쇼핑㈜롯데엔터테인먼트","2011-01-05",1,"한국",445,1006947,"드라마","15세이상관람가","김윤진","박해일","",7.54,1006947,1006947,1677501.34942085,1658547.75,2598644,957932.33604336
"시간위의집","임대웅","리드미컬그린(주),자이온이엔티(주),브릿지웍스엔터테인먼트(주),라이브(주)","","(주)리틀빅픽쳐스,(주)페퍼민트앤컴퍼니","2017-04-05",4,"한국",454,124601,"미스터리","15세이상관람가","김윤진","택연","조재윤",7.62,124601,124601,1677501.34942085,1658547.75,124601,124601
"해무(海霧)","심성보","(주)해무,(주)루이스픽쳐스","","(주)넥스트엔터테인먼트월드(NEW)","2014-08-13",8,"한국",584,1466830,"드라마","청소년관람불가","김윤석","박유천","한예리",6.84,1466830,1466830,1677501.34942085,4408519.66666667,745496.5,1014999.75
"도둑들","최동훈","(주)케이퍼필름","","(주)쇼박스","2012-07-25",7,"한국",1072,12983330,"액션","15세이상관람가","김윤석","김혜수","이정재",7.6,12844515,12844515,1677501.34942085,4408519.66666667,6794277,12983330
"남쪽으로튀어","임순례","(주)영화사거미,필름트레인","","롯데쇼핑㈜롯데엔터테인먼트","2013-02-06",2,"한국",428,821918,"코미디","15세이상관람가","김윤석","오연수","한예리",7.8,1354356.66666667,536284,1677501.34942085,4408519.66666667,821918,1014999.75
"화이:괴물을삼킨아이","장준환","나우필름(주),파인하우스필름(주),(주)쇼박스","","(주)쇼박스","2013-10-09",10,"한국",817,2391963,"액션","청소년관람불가","김윤석","여진구","조진웅",7.82,4811866.5,2391963,1677501.34942085,4408519.66666667,852545.4,1701651
"극비수사","곽경택","(주)제이콘컴퍼니,(주)영화사신세계","","(주)쇼박스","2015-06-18",6,"한국",894,2860786,"드라마","15세이상관람가","김윤석","유해진","",8.09,1378888.8,2860786,1677501.34942085,4408519.66666667,2543912.4,957932.33604336
"검은사제들","장재현","영화사집","","씨제이이앤엠(주)","2015-11-05",11,"한국",1088,5440945,"미스터리","15세이상관람가","김윤석","강동원","",8.31,5440945,3875319.83333333,1677501.34942085,4408519.66666667,6514515.8,957932.33604336
"당신,거기있어줄래요","홍지영","(주)수필름","","롯데쇼핑㈜롯데엔터테인먼트","2016-12-14",12,"한국",767,1168625,"판타지","12세이상관람가","김윤석","변요한","채서진",8.68,1190447.5,766181.428571429,1677501.34942085,4408519.66666667,1148821.5,1168625
"완득이","이한","(주)유비유필름,어나더픽쳐스(주)","","씨제이이앤엠(주)","2011-10-20",10,"한국",500,5310510,"드라마","12세이상관람가","김윤석","유아인","",8.77,2664446,5310510,1677501.34942085,4408519.66666667,8317586.33333333,957932.33604336
"1987","장준환","(주)우정필름","","씨제이이앤엠(주)","2017-12-27",12,"한국",1299,7231770,"드라마","15세이상관람가","김윤석","하정우","유해진",9.25,4811866.5,7231770,1677501.34942085,4408519.66666667,4012767.66666667,5324328.14285714
"기술자들","김홍선","(주)트리니티엔터테인먼트","","롯데쇼핑㈜롯데엔터테인먼트","2014-12-24",12,"한국",641,2564340,"범죄","15세이상관람가","김우빈","김영철","고창석",7.1,1171538.75,1304897,1677501.34942085,2804237,2564340,1468567.75
"스물","이병헌","(주)영화나무,(주)아이에이치큐","","(주)넥스트엔터테인먼트월드(NEW)","2015-03-25",3,"한국",926,3044134,"코미디","15세이상관람가","김우빈","준호","강하늘",7.65,2114051.5,3044134,1677501.34942085,2804237,3044134,3044134
"악녀","정병길","(주)앞에있다","","(주)넥스트엔터테인먼트월드(NEW)","2017-06-08",6,"한국",685,1206917,"액션","청소년관람불가","김옥빈","신하균","성준",6.96,1964410,1206917,1677501.34942085,1206917,1189441.33333333,712205
"언더더씨","에반트라멜","","(주)히스토리필름","(주)팝엔터테인먼트","2017-06-22",6,"미국",163,49958,"애니메이션","전체관람가","김연우","황창영","김경희",7.22,49958,762553.945321993,49271.6,49958,36326.5,49958
"캐치미","이현종","(주)소넷엔터테인먼트,화이브라더스","","롯데쇼핑㈜롯데엔터테인먼트","2013-12-18",12,"한국",517,492773,"코미디","12세이상관람가","김아중","주원","",6.65,492773,492773,1677501.34942085,492773,826139,957932.33604336
"잡아야산다","오인천","더퀸디앤엠주식회사","","오퍼스픽쳐스","2016-01-07",1,"한국",219,54450,"코미디","15세이상관람가","김승우","김정태","혁",4.13,267489,54450,1677501.34942085,111249.5,1973833,54450
"리얼","이사랑","(주)코브픽쳐스","","씨제이이앤엠(주)","2017-06-28",6,"한국",970,470105,"액션","청소년관람불가","김수현","이성민","성동일",4.24,470105,470105,1677501.34942085,3711952.5,617273.25,1042835
"은밀하게위대하게","장철수","(주)엠씨엠씨","","(주)쇼박스","2013-06-05",6,"한국",1341,6953800,"액션","15세이상관람가","김수현","박기웅","이현우",7.11,6953800,3507082.5,1677501.34942085,3711952.5,6953800,6498629
"가문의영광4-가문의수난","정태원","(주)태원엔터테인먼트","","(주)넥스트엔터테인먼트월드(NEW)","2011-09-07",9,"한국",537,2363955,"코미디","15세이상관람가","김수미","신현준","탁재훈",4.14,2363955,2650172.25,1677501.34942085,1441969,2363955,2363955
"헬머니","신한솔","(주)전망좋은영화사,TCO(주)더콘텐츠온","","(주)넥스트엔터테인먼트월드(NEW)","2015-03-05",3,"한국",422,519983,"코미디","청소년관람불가","김수미","정만식","김정태",6.81,519983,519983,1677501.34942085,1441969,283303,519983
"고死두번째이야기:교생실습","유선동","(주)코어콘텐츠미디어","","(주)넥스트엔터테인먼트월드(NEW)","2010-07-28",7,"한국",320,872594,"공포(호러)","15세이상관람가","김수로","황정음","윤시윤",4.72,872594,872594,1677501.34942085,607390,872594,872594
"점쟁이들","신정원","(주)사람엔터테인먼트,(주)다세포클럽","","(주)넥스트엔터테인먼트월드(NEW)","2012-10-03",10,"한국",479,900054,"코미디","15세이상관람가","김수로","강예원","이제훈",5.8,900054,900054,1677501.34942085,607390,1275545,2651945.33333333
"퀴즈왕","장진","소란플레이먼트(주)","","(주)시네마서비스","2010-09-16",9,"한국",323,583183,"코미디","15세이상관람가","김수로","한재석","송영창",5.89,491782.25,583183,1677501.34942085,607390,583183,1339279
"로맨틱헤븐","장진","(주)시네마서비스글로벌","","(주)시네마서비스","2011-03-24",3,"한국",260,73729,"드라마","12세이상관람가","김수로","김동욱","김지원",6.47,491782.25,73729,1677501.34942085,607390,991159,1249058
"펭이와친구들의남극대모험","루카스퀴아오","","(주)하이라이트픽쳐스","와이드릴리즈(주)","2018-02-28",2,"3국",233,22695,"애니메이션","전체관람가","김소희","황창영","윤아영",4.42,22695,762553.945321993,22695,22695,36326.5,22695
"검은손","박재식","골든타이드픽처스(주)","","(주)스톰픽쳐스코리아","2015-04-16",4,"한국",178,11650,"공포(호러)","청소년관람불가","김성수","한고은","",3.23,11650,17984.25,1677501.34942085,11650,11650,957932.33604336
"퇴마:무녀굴","김휘","(주)케이프로덕션,플로우식스(주),버티고필름","","씨네그루(주)다우기술","2015-08-20",8,"한국",331,120802,"공포(호러)","15세이상관람가","김성균","유선","천호진",6.6,1277450.5,120802,1677501.34942085,120802,1004451,925484.75
"명탐정코난:코난실종사건-사상최악의이틀","야마모토야스이치로","","씨제이이앤엠(주)","씨제이이앤엠(주)","2015-02-12",2,"3국",187,257381,"애니메이션","12세이상관람가","김선혜","강수진","이현진",8.27,286406.571428571,762553.945321993,1018967.20634921,335685,335685,173831.333333333
"명탐정코난:감벽의관","야마모토야스이치로","","씨제이이앤엠(주)","씨제이이앤엠(주)","2018-02-14",2,"3국",487,242166,"애니메이션","12세이상관람가","김선혜","강수진","이현진",8.43,286406.571428571,762553.945321993,1018967.20634921,335685,335685,173831.333333333
"명탐정코난:순흑의악몽","시즈노코분","","씨제이이앤엠(주)","씨제이이앤엠(주)","2016-08-03",8,"3국",447,507508,"애니메이션","12세이상관람가","김선혜","강수진","이정구",8.99,493695.2,762553.945321993,1018967.20634921,335685,335685,507508
"더파이브","정연식","(주)시네마서비스","","씨제이이앤엠(주)","2013-11-14",11,"한국",501,731212,"스릴러","청소년관람불가","김선아","온주완","마동석",6.25,731212,1331939.75,1677501.34942085,731212,731212,4329797
"살인의뢰","손용호","(주)미인픽쳐스","","씨네그루(주)다우기술","2015-03-12",3,"한국",646,855980,"범죄","청소년관람불가","김상경","김성균","박성웅",6.72,855980,1475677.5,1677501.34942085,640131,696064.4,635303
"사라진밤","이창희","(주)싸이더스,(주)엠씨엠씨,(주)더블앤조이픽쳐스","","씨네그루(주)키다리이엔티","2018-03-07",3,"한국",925,1314283,"스릴러","15세이상관람가","김상경","김강우","김희애",7.01,1314283,1314283,1677501.34942085,640131,1212264.5,1314283
"아빠를빌려드립니다","김덕수","(주)이스트스카이필름,(주)어뮤즈엔터테인먼트","","메가박스중앙(주)플러스엠,(주)레드로버","2014-11-20",11,"한국",326,172445,"코미디","12세이상관람가","김상경","문정희","최다인",7.82,161082,172445,1677501.34942085,640131,2771822.25,172445
"1급기밀","홍기선","(주)미인픽쳐스,(주)미디어모굴","","(주)리틀빅픽쳐스","2018-01-24",1,"한국",512,217816,"드라마","12세이상관람가","김상경","김옥빈","최무성",8.84,217816,217816,1677501.34942085,640131,217816,217816
"아가씨","박찬욱","유한회사아가씨에프에스,(주)모호필름,(주)용필름","","씨제이이앤엠(주)","2016-06-01",6,"한국",1171,4277071,"스릴러","청소년관람불가","김민희","김태리","하정우",7.09,2327900,4277071,1677501.34942085,4277071,4277071,8491385.5
"밤의여왕","김제영","(주)영화사아이비젼,(유)밤의여왕문화산업전문회사","","(주)인벤트스톤","2013-10-17",10,"한국",333,252475,"멜로/로맨스","15세이상관람가","김민정","천정명","",6.88,240740,252475,1677501.34942085,252475,150079.5,957932.33604336
"머니백","허준형","(주)젠픽쳐스","","(주)리틀빅픽쳐스","2018-04-12",4,"한국",472,52618,"액션","15세이상관람가","김무열","박희순","이경영",5.84,52618,52618,1677501.34942085,3048038,1660958.75,495245.75
"연평해전","김학순","(주)로제타시네마","","(주)넥스트엔터테인먼트월드(NEW)","2015-06-24",6,"한국",1013,6043458,"드라마","12세이상관람가","김무열","진구","이현우",8.99,6043458,6043458,1677501.34942085,3048038,1484094.4,6498629
"하루","조선호","(주)라인필름","","CGV아트하우스","2017-06-15",6,"한국",781,1129018,"스릴러","15세이상관람가","김명민","변요한","유재명",7.09,1129018,1129018,1677501.34942085,2306524.88888889,1148821.5,1129018
"조선명탐정:흡혈괴마의비밀","김석윤","청년필름(주)","","(주)쇼박스","2018-02-08",2,"한국",1249,2424387,"사극","12세이상관람가","김명민","오달수","김지원",6.65,3694220.33333333,2697813.2,1677501.34942085,2306524.88888889,2366227.8,1249058
"간첩","우민호","(주)영화사울림","","롯데쇼핑㈜롯데엔터테인먼트","2012-09-20",9,"한국",576,1310895,"드라마","15세이상관람가","김명민","염정아","유해진",7.18,2874235.5,1310895,1677501.34942085,2306524.88888889,1310895,5324328.14285714
"연가시","박정우","(주)오죤필름","","씨제이이앤엠(주)","2012-07-05",7,"한국",759,4513026,"공포(호러)","15세이상관람가","김명민","문정희","김동완",7.22,4542084,4513026,1677501.34942085,2306524.88888889,2771822.25,4513026
"조선명탐정:사라진놉의딸","김석윤","청년필름(주)","","(주)쇼박스","2015-02-11",2,"한국",811,3872015,"사극","12세이상관람가","김명민","오달수","이연희",7.67,3694220.33333333,2697813.2,1677501.34942085,2306524.88888889,2366227.8,2542142.5
"파괴된사나이","우민호","아이러브시네마,(주)아이필름홀딩스","","(주)시너지하우스(시너지)","2010-07-01",7,"한국",190,1030285,"드라마","청소년관람불가","김명민","엄기준","박주미",7.71,2874235.5,1030285,1677501.34942085,2306524.88888889,1115659,1030285
"조선명탐정:각시투구꽃의비밀","김석윤","청년필름(주)","","(주)쇼박스","2011-01-27",1,"한국",611,4786259,"코미디","12세이상관람가","김명민","오달수","한지민",8.13,3694220.33333333,2697813.2,1677501.34942085,2306524.88888889,2366227.8,4786259
"특별수사:사형수의편지","권종관","(주)콘텐츠케이","","(주)넥스트엔터테인먼트월드(NEW)","2016-06-16",6,"한국",691,1225142,"범죄","15세이상관람가","김명민","김상호","성동일",8.3,1225142,1225142,1677501.34942085,2306524.88888889,1225142,1042835
"페이스메이커","김달중","(주)드림캡쳐,(주)에이트볼픽쳐스,(주)필통픽쳐스","","(주)시너지하우스(시너지),롯데쇼핑㈜롯데엔터테인먼트","2012-01-18",1,"한국",412,467697,"드라마","12세이상관람가","김명민","안성기","고아라",8.85,467697,467697,1677501.34942085,2306524.88888889,1349938,467697
"희생부활자","곽경택","(주)영화사신세계,(주)바른손이앤에이","","(주)쇼박스","2017-10-12",10,"한국",781,323628,"미스터리","15세이상관람가","김래원","김해숙","",6.14,1378888.8,323628,1677501.34942085,253639,520078.25,957932.33604336
"마이리틀히어로","김성훈","굿초이스컷픽쳐스(주)","","씨제이이앤엠(주)","2013-01-09",1,"한국",341,183650,"드라마","전체관람가","김래원","이성민","조안",8.41,4642457.75,1582836,1677501.34942085,253639,617273.25,183650
"쓰리썸머나잇","김상진","더램프(주),㈜감독의집","","(주)리틀빅픽쳐스,(주)인벤트스톤","2015-07-15",7,"한국",297,77621,"코미디","청소년관람불가","김동욱","임원희","손호준",6.76,337940,77621,1677501.34942085,77621,77621,77621
"마녀","박훈정","(주)영화사금월,(주)페퍼민트앤컴퍼니","","워너브러더스코리아(주)","2018-06-27",6,"한국",1117,3186471,"미스터리","15세이상관람가","김다미","조민수","박희순",8.19,2209793.6,2279893.5,1677501.34942085,3186471,3186471,1610129.66666667
"폭풍전야","조창호","오퍼스픽쳐스","","(주)성원아이컴","2010-04-01",4,"한국",134,52597,"드라마","청소년관람불가","김남길","황우슬혜","",6.72,52597,1859479.2,1677501.34942085,3375628.25,421775.5,957932.33604336
"어느날","이윤기","(주)인벤트스톤","","오퍼스픽쳐스,CGV아트하우스","2017-04-05",4,"한국",532,232016,"멜로/로맨스","15세이상관람가","김남길","천우희","",7.69,167024.333333333,685633,1677501.34942085,3375628.25,232016,957932.33604336
"해적:바다로간산적","이석훈","(주)하리마오픽쳐스","","롯데쇼핑㈜롯데엔터테인먼트","2014-08-06",8,"한국",838,8646758,"어드벤처","12세이상관람가","김남길","손예진","",8.27,6821259,2454172,1677501.34942085,3375628.25,5476696,957932.33604336
"판도라","박정우","(주)씨에이씨엔터테인먼트","","(주)넥스트엔터테인먼트월드(NEW)","2016-12-07",12,"한국",1166,4571142,"드라마","12세이상관람가","김남길","김주현","정진영",8.33,4542084,4571142,1677501.34942085,3375628.25,4571142,2074479.5
"빅샤크:매직체인지","헤질리","","(주)히스토리필름","와이드릴리즈(주)","2018-06-27",6,"3국",414,137290,"애니메이션","전체관람가","김경희","이슬","이제인",6.99,137290,762553.945321993,49271.6,137290,137290,137290
"사이코메트리","권호영","(주)엠픽처스,(주)파워이엔티,㈜게이트픽쳐스","","씨제이이앤엠(주)","2013-03-07",3,"한국",429,531953,"미스터리","청소년관람불가","김강우","김범","",4.08,734491,531953,1677501.34942085,1032782.75,531953,957932.33604336
"돈의맛","임상수","휠므빠말주식회사","","(주)시너지하우스(시너지),롯데쇼핑㈜롯데엔터테인먼트","2012-05-17",5,"한국",643,1165488,"드라마","청소년관람불가","김강우","백윤식","윤여정",6.77,1201176,1165488,1677501.34942085,1032782.75,665291,1734987.5
"결혼전야","홍지영","(주)수필름","","씨너스엔터테인먼트(주)","2013-11-21",11,"한국",524,1212270,"멜로/로맨스","15세이상관람가","김강우","김효진","이연희",7,1190447.5,766181.428571429,1677501.34942085,1032782.75,1212270,2542142.5
"찌라시:위험한소문","김광식","(주)영화사수박","","씨제이이앤엠(주)","2014-02-20",2,"한국",560,1221420,"범죄","15세이상관람가","김강우","정진영","고창석",7.51,1221420,1395207.5,1677501.34942085,1032782.75,1221420,1468567.75
"통증","곽경택","(주)트로피엔터테인먼트,(주)영화사축제,(주)미스터로맨스","","롯데쇼핑㈜롯데엔터테인먼트","2011-09-07",9,"한국",317,693101,"멜로/로맨스","15세이상관람가","권상우","정려원","마동석",7.8,1378888.8,693101,1677501.34942085,2155278.33333333,406548,4329797
"탐정:리턴즈","이언희","(주)크리픽쳐스","","씨제이이앤엠(주)","2018-06-13",6,"한국",1041,3147048,"코미디","15세이상관람가","권상우","성동일","이광수",8.44,2150078.5,2617769.33333333,1677501.34942085,2155278.33333333,1679248.25,1775752
"탐정:더비기닝","김정훈","(주)크리픽쳐스","","씨제이이앤엠(주)","2015-09-24",9,"한국",764,2625686,"코미디","15세이상관람가","권상우","성동일","",8.47,2353130,2617769.33333333,1677501.34942085,2155278.33333333,1679248.25,957932.33604336
"곡성","나홍진","(주)사이드미러,이십세기폭스인터내셔널프로덕션","","이십세기폭스코리아(주)","2016-05-12",5,"한국",1485,6878264,"미스터리","15세이상관람가","곽도원","황정민","쿠니무라준",7.6,4522845,6878264,1677501.34942085,6878264,4736146,6878264
"577프로젝트","이근우","(주)다세포클럽,(주)무브픽쳐스,(주)판타지오,(주)숲엔터테인먼트","","필라멘트픽쳐스","2012-08-30",8,"한국",191,96079,"코미디","15세이상관람가","공효진","하정우","",8.2,96079,96079,1677501.34942085,96079,4012767.66666667,957932.33604336
"부산행","연상호","(주)영화사레드피터","","(주)넥스트엔터테인먼트월드(NEW)","2016-07-20",7,"한국",1788,11565078,"액션","15세이상관람가","공유","정유미","마동석",8,6277594.5,6277594.5,1677501.34942085,6786382.66666667,5452544,4329797
"용의자","원신연","(주)그린피쉬,(주)쇼박스","","(주)쇼박스","2013-12-24",12,"한국",807,4131248,"액션","15세이상관람가","공유","박희순","조성하",8.35,3393971,4131248,1677501.34942085,6786382.66666667,1660958.75,2911295
"도가니","황동혁","(주)삼거리픽쳐스,(주)판타지오","","씨제이이앤엠(주)","2011-09-22",9,"한국",644,4662822,"드라마","청소년관람불가","공유","정유미","",9.26,5716370,3194512,1677501.34942085,6786382.66666667,5452544,957932.33604336
"미쓰GO","박철관","영화사도로시(주)","","(주)넥스트엔터테인먼트월드(NEW)","2012-06-21",6,"한국",440,611685,"액션","15세이상관람가","고현정","유해진","성동일",5.13,611685,611685,1677501.34942085,611685,2543912.4,1042835
"천녀유혼","엽위신","","","씨너스엔터테인먼트(주)","2011-05-12",5,"3국",240,66219,"SF","12세이상관람가","고천락","유역비","여소군",6.53,63050,762553.945321993,1677501.34942085,66219,80435.5,66219
"오피스","홍원찬","(주)영화사꽃","","(주)리틀빅픽쳐스","2015-09-03",9,"한국",425,428429,"스릴러","15세이상관람가","고아성","박성웅","",8.11,428429,428429,1677501.34942085,428429,510235,957932.33604336
"루시드드림","김준성","(주)로드픽쳐스","","(주)넥스트엔터테인먼트월드(NEW)","2017-02-22",2,"한국",461,102170,"SF","15세이상관람가","고수","설경구","",5.88,102170,102170,1677501.34942085,975240.333333333,102170,957932.33604336
