"영화명","감독","제작사","수입사","배급사","개봉일","개봉월","국적","전국스크린수","전국관객수","장르","등급","배우1","배우2","배우3","별점","감독점수","제작사점수","수입사점수","배우1점수","배우2점수","배우3점수"
"사도","이준익","(주)타이거픽쳐스","","(주)쇼박스","2015-09-16",9,"한국",1210,6246849,"사극","12세이상관람가","송강호","유아인","문근영",8.23,2290885.71428571,6246849,1677501.34942085,6779095.125,8317586.33333333,6246849
"밀정","김지운","(주)다크서클픽쳐스,워너브러더스코리아(주),(주)영화사하얼빈","","워너브러더스코리아(주)","2016-09-07",9,"한국",1444,7487545,"액션","15세이상관람가","송강호","공유","",8.42,2072669.6,7487545,1677501.34942085,6779095.125,2940652.66666667,957932.33604336
"의형제","장훈","(주)쇼박스,(주)다세포클럽,루비콘픽쳐스㈜","","(주)쇼박스","2010-02-04",2,"한국",572,5507106,"드라마","15세이상관람가","송강호","강동원","",8.87,6850738,5507106,1677501.34942085,6779095.125,6514515.8,957932.33604336
"변호인","양우석","위더스필름(주)","","(주)넥스트엔터테인먼트월드(NEW)","2013-12-18",12,"한국",923,11372451,"드라마","15세이상관람가","송강호","김영애","오달수",8.98,7911901,6000513.5,1677501.34942085,6779095.125,11372451,5454382.71428571
"택시운전사","장훈","더램프(주)","","(주)쇼박스","2017-08-02",8,"한국",1906,12099971,"드라마","15세이상관람가","송강호","토마스크레취만","유해진",9.06,6850738,6292527,1677501.34942085,6779095.125,12099971,5324328.14285714
"숨바꼭질","허정","(주)드림캡쳐","","(주)넥스트엔터테인먼트월드(NEW)","2013-08-14",8,"한국",779,5602543,"스릴러","15세이상관람가","손현주","문정희","전미선",6.81,3453844,3453844,1677501.34942085,2442954,2771822.25,5602543
"더폰","김봉주","(주)미스터로맨스","","(주)넥스트엔터테인먼트월드(NEW)","2015-10-22",10,"한국",794,1593694,"스릴러","15세이상관람가","손현주","엄지원","배성우",6.84,1593694,1593694,1677501.34942085,2442954,1060907.2,3642786.66666667
"악의연대기","백운학","(주)비에이엔터테인먼트","","씨제이이앤엠(주)","2015-05-14",5,"한국",776,2192243,"스릴러","15세이상관람가","손현주","마동석","최다니엘",7.63,2192243,1209175.33333333,1677501.34942085,2442954,1695430,2462035.5
"보통사람","김봉한","(주)트리니티엔터테인먼트,(주)영화사장춘","","오퍼스픽쳐스","2017-03-23",3,"한국",621,383336,"드라마","15세이상관람가","손현주","장혁","",7.97,202976.5,383336,1677501.34942085,2442954,424414,957932.33604336
"공범","국동석","선샤인필름(주)","","씨제이이앤엠(주)","2013-10-24",10,"한국",611,1766285,"스릴러","15세이상관람가","손예진","김갑수","",7.17,1766285,1766285,1677501.34942085,2125356.6,1041536.5,957932.33604336
