,영화명,감독,제작사,수입사,배급사,개봉일,국적,전국스크린수,전국관객수,장르,등급,url,movie_star,배우
626,시체가 돌아왔다,우선호,(주)씨네이천,,씨제이이앤엠(주),2012-03-29,한국,435,986547,범죄,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=시체가 돌아왔다%09&section=all&ie=utf8,7.41,  범죄  코미디   한국 분     감독   우선호 출연   이범수  류승범  김옥빈
627,엔들리스 러브,샤나 페스트,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2014-03-13,미국,210,22091,드라마,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=엔들리스 러브%09&section=all&ie=utf8,7.42,  드라마  멜로로맨스   미국 분     감독   샤나 페스트 출연   알렉스 페티퍼  라이스 웨이크필드  가브리엘라 와일드   코미디  드라마  멜로로맨스   미국 분     감독   윌리스 페트리 출연   힐러리 호킨스  고든 티모시   다큐멘터리   스웨덴 분     감독   오사 블랑크  요한 팜그렌   중국 분     출연   송춘려   드라마   터키     감독   힐랄 사랄 출연   나슬리한 아타귈
628,스카이포스 3D,토니 탕,,(주)누리픽쳐스,(주)미디어데이,2013-02-28,미국,183,51553,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=스카이포스 3D%09&section=all&ie=utf8,7.42,  애니메이션   미국  홍콩 분     감독   토니 탕 출연   아론 크렙스  헤더 고든
629,다크타워: 희망의 탑,니콜라이 아르셀,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-08-23,미국,497,97017,액션,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=다크타워: 희망의 탑%09&section=all&ie=utf8,7.42,  액션  모험  판타지   미국 분     감독   니콜라이 아르셀 출연   이드리스 엘바  매튜 맥커너히  톰 테일러
630,허리케인 하이스트,롭 코헨,,(주)우성엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW),2018-03-14,미국,544,214949,액션,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=허리케인 하이스트%09&section=all&ie=utf8,7.42,  액션  스릴러   미국 분     감독   롭 코헨 출연   토비 켑벨  매기 그레이스  라이언 콴튼
631,나는 왕이로소이다,장규성,데이지엔터테인먼트,,롯데쇼핑㈜롯데엔터테인먼트,2012-08-08,한국,471,768971,사극,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=나는 왕이로소이다%09&section=all&ie=utf8,7.42,  드라마  코미디   한국 분     감독   장규성 출연   주지훈  백윤식  변희봉  박영규  임원희  김수로  이하늬   영국  미국 분     감독   존 휴스턴 출연   숀 코네리  마이클 케인  크리스토퍼 플러머   드라마   한국 분     감독   추창민 출연   이병헌  류승룡  한효주   코미디  멜로로맨스  전쟁   체코  아이슬란드 분     감독   이리 멘젤 출연   마틴 휴바  마리안 라부다   뮤지컬  멜로로맨스  드라마   미국 분     감독   월터 랭 출연   데보라 카  율 브린너
632,스노우 화이트 앤 더 헌츠맨,루퍼트 샌더스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2012-05-30,미국,447,636631,액션,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=스노우 화이트 앤 더 헌츠맨%09&section=all&ie=utf8,7.43,  판타지  액션  모험   미국 분     감독   루퍼트 샌더스 출연   샤를리즈 테론  크리스틴 스튜어트  크리스 헴스워스   액션  모험  드라마  판타지   미국 분     감독   세딕 니콜라스 트로얀 출연   크리스 헴스워스  샤를리즈 테론  에밀리 블런트  제시카 차스테인
633,혼숨,이두환,(주)무비스퀘어,,(주)프레인글로벌,2016-10-26,한국,498,288016,공포(호러),15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=혼숨%09&section=all&ie=utf8,7.43,  공포   한국 분     감독   이두환 출연   류덕환  조복래
634,나의 독재자,이해준,반짝반짝영화사(주),,롯데쇼핑㈜롯데엔터테인먼트,2014-10-30,한국,654,385934,드라마,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=나의 독재자%09&section=all&ie=utf8,7.43,  드라마   한국 분     감독   이해준 출연   설경구  박해일   다큐멘터리   스페인 분     감독   산드라 루에스카
635,연애의 온도,노덕,(주)뱅가드스튜디오,,롯데쇼핑㈜롯데엔터테인먼트,2013-03-21,한국,567,1865195,멜로/로맨스,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=연애의 온도%09&section=all&ie=utf8,7.43,  멜로로맨스   한국 분     감독   노덕 출연   이민기  김민희
636,빌리 진 킹: 세기의 대결,"발레리 페리스,조나단 데이턴",,이십세기폭스코리아(주),이십세기폭스코리아(주),2017-11-16,미국,135,19952,코미디,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=빌리 진 킹: 세기의 대결%09&section=all&ie=utf8,7.44,  코미디   영국  미국 분     감독   조나단 데이턴  발레리 페리스 출연   엠마 스톤  스티브 카렐
637,오 마이 그랜파,댄 마저,,(주)수키픽쳐스,판씨네마(주),2016-03-17,미국,396,79701,코미디,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=오 마이 그랜파%09&section=all&ie=utf8,7.44,  코미디   미국 분     감독   댄 마저 출연   잭 에프론  로버트 드 니로  오브리 플라자  줄리안 허프  조이 도이치
638,고스트버스터즈,폴 페이그,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-08-25,미국,511,515522,액션,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=고스트버스터즈%09&section=all&ie=utf8,7.44,  액션  코미디     미국 분     감독   폴 페이그 출연   멜리사 맥카시  크리스 헴스워스  크리스틴 위그  케이트 맥키넌  레슬리 존스     판타지  코미디   미국 분     감독   이반 라이트만 출연   빌 머레이  댄 애크로이드  시고니 위버  해롤드 래미스  릭 모라니스  애니 파츠  윌리암 아서톤  어니 허드슨     판타지  코미디   미국 분     감독   이반 라이트만 출연   빌 머레이  댄 애크로이드  시고니 위버  해롤드 래미스  릭 모라니스  어니 허드슨   코미디     미국 분     감독   행크 브랙스탠 출연   아리엘 브래치펠드  히스  하이네   마이클 바이스   애니메이션  액션  모험   영국 분     감독   리 하드캐슬
639,콜롬비아나,올리비에 메가턴,,데이지엔터테인먼트,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",2011-08-31,미국,397,598373,액션,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=콜롬비아나%09&section=all&ie=utf8,7.44,  액션  모험   미국  프랑스 분     감독   올리비에 메가턴 출연   조 샐다나  마이클 바턴  배역명   콜롬비아나영화명   엠파이어   감독   프랭크 레예스
640,지오스톰,"딘 데블린,대니 캐넌",,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-10-19,미국,854,1028384,액션,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=지오스톰%09&section=all&ie=utf8,7.44,  액션    스릴러   미국 분     감독   딘 데블린 출연   제라드 버틀러  애비 코니쉬  짐 스터게스
641,폼페이: 최후의 날,폴 W.S. 앤더슨,,주식회사 디앤시엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2014-02-20,미국,561,1373873,액션,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=폼페이: 최후의 날%09&section=all&ie=utf8,7.44,  액션  모험  드라마  멜로로맨스   미국  독일 분     감독   폴 앤더슨 출연   키트 해링턴  에밀리 브라우닝  캐리 앤 모스  키퍼 서덜랜드   액션  모험  드라마  멜로로맨스   이탈리아  스페인 분     감독   마리오 보나드 출연   스티브 리브스  크리스틴 카우프먼   미국     감독   피터  헌트 출연   토니 안홀트  네드 비티  브라이언 블레시드   모험  드라마   이탈리아 분     감독   마리오 카세리니  에레우테리오 로돌피 출연   페르난다 네그리 푸젯  유지니아 테토니 피어   오스트레일리아 분     감독   조엘 델버진
642,프로즌 그라운드,스콧 워커,"그린스톤픽처스,에멋 플라 필름",(주)소나무픽쳐스,(주)박수엔터테인먼트,2014-02-06,미국,88,13853,스릴러,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=프로즌 그라운드%09&section=all&ie=utf8,7.45,  스릴러  범죄   미국 분     감독   스콧 워커 출연   니콜라스 케이지  존 쿠삭  바네사 허진스  라다 미첼
643,극장판 아따맘마3D : 엄마는 초능력자,다카하시 와타루,,,씨너스엔터테인먼트(주),2011-09-08,일본,123,60154,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=극장판 아따맘마3D : 엄마는 초능력자%09&section=all&ie=utf8,7.45,  애니메이션  코미디   일본 분     감독   다카하시 와타루 출연   오가타 켄이치  오리카사 후미코  사카구치 다이스케  와타나베 쿠미코
644,쏘우-여섯번의 기회,케빈 그루터트,(주)빅버젯,,(주)빅버젯,2010-01-07,미국,52,20116,공포(호러),청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=쏘우-여섯번의 기회%09&section=all&ie=utf8,7.46,  범죄  공포  미스터리  스릴러   미국  영국  캐나다  오스트레일리아 분     감독   케빈 그루터트 출연   토빈 벨  코스타스 맨다이어  쇼니 스미스  마크 롤스톤  벳시 러셀  피터 아우터브릿지
645,쟈니 잉글리쉬2 : 네버다이,올리버 파커,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2011-11-02,미국,139,37823,코미디,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=쟈니 잉글리쉬2 : 네버다이%09&section=all&ie=utf8,7.46,  액션  코미디   영국  미국 분     감독   올리버 파커 출연   로완 앳킨슨  질리언 앤더슨
646,베이블레이드 버스트 갓 : 갓 발키리의 탄생,야마구치 켄타로,,(주)영실업,씨제이이앤엠(주),2017-06-01,일본,198,108896,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=베이블레이드 버스트 갓 : 갓 발키리의 탄생%09&section=all&ie=utf8,7.46,  애니메이션   일본 분     감독   야마구치 켄타로 출연   김현지  한신  김보영  이호산  김영은
647,필립모리스,"존 레쿼,글렌 피카라","유로파 Corp.,매드 챈스",㈜케이디미디어,㈜케이디미디어,2010-07-01,프랑스,38,84859,코미디,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=필립모리스%09&section=all&ie=utf8,7.46,  코미디  드라마   프랑스  미국 분     감독   글렌 피카라  존 레쿼 출연   짐 캐리  이완 맥그리거   미국 분     감독   켈리 앤더슨  남   출생년도    관련영화   홀리데이 어페어  과거로부터  돌 페이스
648,차형사,신태라,(주)영화사홍,,씨제이이앤엠(주),2012-05-30,한국,433,1346754,코미디,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=차형사%09&section=all&ie=utf8,7.46,  코미디   한국 분     감독   신태라 출연   강지환  성유리  이수혁  김영광  신민철  배역명   차형사 아역영화명   차형사   감독   신태라  배역명   차형사영화명   널 기다리며   감독   모홍진  배역명   차형사영화명   미쓰   감독   박철관  배역명   차형사영화명   골든슬럼버   감독   노동석  배역명   차형사영화명   재심   감독   김태윤
649,노벰버 맨,로저 도널드슨,,㈜코리아스크린,롯데쇼핑㈜롯데엔터테인먼트,2014-10-16,미국,395,252444,액션,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=노벰버 맨%09&section=all&ie=utf8,7.47,  액션  스릴러   미국 분     감독   로저 도널드슨 출연   피어스 브로스넌  올가 쿠릴렌코  루크 브레이시
650,올레,채두병,(주)어바웃필름,,"(주)대명문화공장,(주)리틀빅픽쳐스",2016-08-25,한국,338,66883,드라마,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=올레%09&section=all&ie=utf8,7.47,  코미디  드라마   한국 분     감독   채두병 출연   신하균  박희순  오만석  유다인   코미디   이탈리아 분     감독   카를로 반지나 출연   마시모 볼디  빈센조 살렘  대릴 한나  엔조 살비  나탈리아 에스트라다   다큐멘터리   영국  미국 분     감독   폴 더그데일   다큐멘터리   한국 분     출연   박성웅  신은정   드라마   덴마크 분     감독   닐스 말므로스  남   출생년도    관련영화    밀리언 프렌치맨     출생년도    관련영화   펠로타  감독  남   출생년도    관련영화   렘브란트  오케이  악령     출생년도    관련영화   오토 이즈 어 라이노  원작  남   출생년도    관련영화   맘몬  어버브 더 스트리트 빌로우 더 워터  위험한 바다  배역명   올레영화명   시끌벅적 마을의 아이들  여름 그리고 가을   감독   라세 할스트롬  배역명   올레영화명   시끌벅적 마을의 아이들  겨울 그리고 봄   감독   라세 할스트롬  배역명   올레영화명   사랑의 시대   감독   토마스 빈터베르그  배역명   올레영화명   청춘 낙서    감독   빌  노튼  배역명   올레영화명   로버트 짐머만 분더트 지히 위버 디 리베   감독   레안더 하우즈만
651,마법사의 제자,존 터틀타웁,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-07-21,미국,298,582698,드라마,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=마법사의 제자%09&section=all&ie=utf8,7.48,  액션  모험  코미디  드라마  판타지   미국 분     감독   존 터틀타웁 출연   니콜라스 케이지
652,워터 포 엘리펀트,프란시스 로렌스,,이십세기폭스코리아(주),이십세기폭스코리아(주),2011-05-04,미국,182,55561,드라마,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=워터 포 엘리펀트%09&section=all&ie=utf8,7.49,  서사  멜로로맨스   미국 분     감독   프란시스 로렌스 출연   리즈 위더스푼  로버트 패틴슨  크리스토프 왈츠
653,스티브 잡스,대니 보일,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-01-21,미국,384,68815,드라마,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=스티브 잡스%09&section=all&ie=utf8,7.49,  드라마   미국 분     감독   대니 보일 출연   마이클 패스벤더  케이트 윈슬렛  세스 로건   다큐멘터리   미국 분     감독   알렉스 기브니   드라마   미국 분     감독   조슈아 마이클 스턴 출연   애쉬튼 커쳐  조시 게드  더모트 멀로니  매튜 모딘   다큐멘터리   미국 분     감독   타라 피리나   다큐멘터리   미국 분     감독   폴슨 출연   스티브 잡스  로버트  크링겔리  남   출생년도    관련영화   스티브 잡스  더 로스트 인터뷰  토이 스토리  기획  배역명   스티브 잡스영화명   잡스   감독   조슈아 마이클 스턴  배역명   스티브 잡스영화명   스티브 잡스   감독   대니 보일  배역명   스티브 잡스영화명   실리콘 밸리의 신화   감독   마틴 버크
654,춤추는 꿈틀이 밴드,토마스 보르히 닐슨,디스코 오르메네,(주)케이앤엔터테인먼트,에이원엔터테인먼트,2010-02-04,덴마크,48,11061,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=춤추는 꿈틀이 밴드%09&section=all&ie=utf8,7.5,  애니메이션  가족  코미디   덴마크  독일 분     감독   토머스 보르히 닐슨 출연   피터 프로딘  트린 디어홈  라스 흐조르초즈  트로엘스 리비  헬레 돌레리스  버스 뉴먼  페테르 헤세 오베르가르드  헨닝 옌센  올라프 니엘센  킴 하겐  토니 징크  카스퍼 비리엘 스바네  커스틴 스킷  마르깃 로젠나  데이빗 바테손  헤데르 카리노  제이슨 그라에  프랭크 레나르트  테즈 밀란  올라비 우시비르타
655,더 브레이브,"에단 코엔,조엘 코엔",,씨제이엔터테인먼트,씨제이엔터테인먼트,2011-02-24,미국,51,31152,드라마,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=더 브레이브%09&section=all&ie=utf8,7.5,  액션  코미디   인도 분     감독   사지드 칸 출연   아제이 데브건  타만나 바티아  파레시 로월   모험  드라마  서부   미국 분     감독   에단 코엔  조엘 코엔 출연   맷 데이먼  제프 브리지스  조슈 브롤린  배리 페퍼  헤일리 스테인펠드   드라마   미국 분     감독   조셉 코신스키 출연   마일즈 텔러  테일러 키취  조슈 브롤린  제프 브리지스  제임스 뱃지 데일  제니퍼 코넬리   드라마   미국 분     감독   어빙 래퍼 출연   미켈 레이   드라마  전쟁  액션   미국  모로코 분     감독   어윈 윙클러 출연   사무엘  잭슨  제시카 비엘   센트  크리스티나 리치  배역명   존 더 브레이브영화명   드레곤 레전드   감독   마크 앳킨스
656,락 오브 에이지,아담 쉥크만,,워너브러더스 코리아(주),워너브러더스 코리아(주),2012-08-02,미국,243,87915,뮤지컬,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=락 오브 에이지%09&section=all&ie=utf8,7.5,  뮤지컬  드라마   미국 분     감독   아담 쉥크만 출연   톰 크루즈  캐서린 제타 존스  알렉 볼드윈  폴 지아마티  말린 애커맨  줄리안 허프  디에고 보네타  러셀 브랜드
657,사요나라 이츠카,이재한,"(주)투베어픽쳐스,(주)스파이로필름",,씨제이엔터테인먼트,2010-04-15,한국,31,23605,드라마,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=사요나라 이츠카%09&section=all&ie=utf8,7.5,  드라마  멜로로맨스   한국 분     감독   이재한 출연   나카야마 미호  니시지마 히데토시  이시다 유리코
658,티끌모아 로맨스,김정환,"(주)아이에이치큐,㈜인디스토리",,필라멘트픽쳐스,2011-11-10,한국,294,424002,멜로/로맨스,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=티끌모아 로맨스%09&section=all&ie=utf8,7.5,  멜로로맨스  코미디   한국 분     감독   김정환 출연   한예슬  송중기
659,허삼관,하정우,"(주)두타연,(주)판타지오픽쳐스",,(주)넥스트엔터테인먼트월드(NEW),2015-01-14,한국,621,955175,드라마,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=허삼관%09&section=all&ie=utf8,7.5,  드라마   한국 분     감독   하정우 출연   하정우  하지원  배역명   허삼관영화명   허삼관   감독   하정우  배역명   허삼관 스탠딩영화명   허삼관   감독   하정우
660,표적,창,"(주)바른손이앤에이,(주)용필름",,씨제이이앤엠(주),2014-04-30,한국,665,2841788,액션,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=표적%09&section=all&ie=utf8,7.5,  액션  드라마   한국 분     감독   창감독 출연   류승룡  유준상  이진욱  김성령  조여정  조은지   액션  범죄  코미디  드라마   미국 분     감독   스티븐 소더버그 출연   조지 클루니  제니퍼 로페즈   액션  스릴러  드라마   미국 분     감독   제프 버로우즈 출연   패트릭 뎀시  켈리 프레스톤   액션  스릴러   미국 분     감독   아서 펜 출연   진 핵크만  맷 딜런   한국 분     감독   최하원 출연   한진희  방희  오경아  박병호
661,존 카터: 바숨 전쟁의 서막 ,앤드류 스탠튼,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-03-08,미국,508,837426,SF,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=존 카터: 바숨 전쟁의 서막 %09&section=all&ie=utf8,7.51,    액션   미국 분     감독   앤드류 스탠튼 출연   테일러 키취  린 콜린스  윌렘 대포  사만다 모튼
662,기생수 파트2,야마자키 타카시,,판씨네마(주),판씨네마(주),2015-05-07,일본,260,62071,SF,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=기생수 파트2%09&section=all&ie=utf8,7.51,    스릴러   일본 분     감독   야마자키 다카시 출연   소메타니 쇼타  후카츠 에리  하시모토 아이  아베 사다오
663,찌라시: 위험한 소문,김광식,(주)영화사수박,,씨제이이앤엠(주),2014-02-20,한국,560,1221420,범죄,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=찌라시: 위험한 소문%09&section=all&ie=utf8,7.51,  드라마  범죄   한국 분     감독   김광식 출연   김강우  정진영  고창석  박성웅
664,포인트 브레이크,에릭슨 코어,,(주)나이너스엔터테인먼트,"(주)시네마서비스,(주)나이너스엔터테인먼트",2016-01-07,미국,409,294320,범죄,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=포인트 브레이크%09&section=all&ie=utf8,7.52,  액션  범죄   미국 분     감독   에릭슨 코어 출연   루크 브레이시  에드가 라미레즈  레이 윈스턴  테레사 팔머   액션  범죄  모험  스릴러  드라마   미국  일본 분     감독   캐서린 비글로우 출연   키아누 리브스  패트릭 스웨이지   코미디   미국 분     감독   제이 카라스 출연   제레미 시스토  데이빗 월튼  에이미 스마트   시몬스  아담 드바인
665,블랙 팬서,라이언 쿠글러,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-02-14,미국,1620,5399070,액션,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=블랙 팬서%09&section=all&ie=utf8,7.52,  액션  드라마     미국 분     감독   라이언 쿠글러 출연   채드윅 보스만   다큐멘터리   프랑스 분     감독   아녜스 바르다  배역명   티 찰라  블랙 팬서영화명   어벤져스 인피니티 워   감독   안소니 루소  조 루소  배역명   티찰라  블랙 팬서영화명   블랙 팬서   감독   라이언 쿠글러
666,정글히어로,"박태동,마우리시오 드 라 오르타","원더월드 스튜디오,(주)디씨지플러스",,씨제이이앤엠(주),2014-10-02,한국,287,71330,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=정글히어로%09&section=all&ie=utf8,7.52,  액션  드라마   말레이지아 분     감독   세스 라니 출연   줄 아리핀   애니메이션   한국 분     감독   박태동  마우리시오 드 라 오르타 출연   양세나  심규혁  김현지  조성목  남도형  안장혁
667,이웃사람,김휘,"영화사 무쇠팔,플로우식스(주),자이온 이엔티(주),(주)누리픽쳐스,히트박스,(주)미스터로맨스",,롯데쇼핑㈜롯데엔터테인먼트,2012-08-22,한국,600,2434099,스릴러,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=이웃사람%09&section=all&ie=utf8,7.52,  스릴러   한국 분     감독   김휘 출연   김윤진  마동석  천호진  김성균  김새론  임하룡  장영남  도지한  배역명   이웃사람영화명   툼스톤   감독   스콧 프랭크  배역명   곽지다 아파트 이웃사람영화명   대역전   감독   이준  배역명   곽지다 아파트 이웃사람영화명   대역전   감독   이준  배역명   곽지다 아파트 이웃사람영화명   대역전   감독   이준  배역명   곽지다 아파트 이웃사람영화명   대역전   감독   이준
668,아기곰 보보 구출 대작전,라스무스 A. 실버르센,,(주)컴퍼니엘,와이드 릴리즈(주),2018-04-25,노르웨이,207,16447,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=아기곰 보보 구출 대작전%09&section=all&ie=utf8,7.53,  애니메이션  모험  가족  뮤지컬   노르웨이 분     감독   라스무스  실버르센 출연   조연우  박상우  신정훈  방지원  오은수  허성재
669,퍼스트 어벤져,조 존스톤,,씨제이이앤엠(주),씨제이이앤엠(주),2011-07-28,미국,363,514417,액션,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=퍼스트 어벤져%09&section=all&ie=utf8,7.53,  액션  모험   미국 분     감독   조 존스톤 출연   크리스 에반스  토미 리 존스  휴고 위빙  헤일리 앳웰   코미디  판타지   미국 분     감독   로이드 카우프만  존  브레넌
670,월드 인베이젼,조나단 리브스만,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-03-10,미국,441,1307873,SF,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=월드 인베이젼%09&section=all&ie=utf8,7.53,  액션     미국 분     감독   조나단 리브스만 출연   아론 에크하트  미셸 로드리게즈  브리짓 모이나한  레이먼 로드리게즈
671,적과의 동침,박건용,(주)알지엔터웍스,,(주)쇼박스,2011-04-27,한국,391,243094,드라마,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=적과의 동침%09&section=all&ie=utf8,7.53,  드라마  코미디   한국 분     감독   박건용 출연   김주혁  정려원  유해진   드라마  스릴러   미국 분     감독   조셉 루벤 출연   줄리아 로버츠  패트릭 버긴  케빈 앤더슨   스릴러   미국     감독   알랑 자로움 출연   패트릭 버긴  제인 헤이트미어  비토리오 로지   한국     감독   방현영  최광일  이나라 출연   김구라  유정현   범죄  드라마  스릴러   남아프리카 공화국 분     감독   래리 라슨 출연   브렌트 허프  잉그리드 볼팅
672,이스케이프,존 에릭 도들,,위드 라이언 픽쳐스,(주)넥스트엔터테인먼트월드(NEW),2015-11-05,미국,264,46781,액션,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=이스케이프%09&section=all&ie=utf8,7.54,  액션  스릴러   미국 분     감독   존 에릭 도들 출연   오웬 윌슨  피어스 브로스넌  레이크 벨   액션   한국 분     감독   심소연 출연   이재윤  이해인  장우진   드라마   미국 분     감독   지아 이슬람   액션   노르웨이 분     감독   로아 우타우 출연   이사벨 크리스틴 안드레슨  잉그리드 볼소 베르달  크리스티안 이스페댈   한국 분     감독   이서현  와타나푸메 라이수완차이  밀드레드 차  래 조 응압 린  배역명   이스케이프 한국어 더빙영화명   극장판 파워레인저 다이노포스고버스터즈 공룡 대결전 안녕 영원한 친구여   감독   사카모토 코이치
673,타워 하이스트,브렛 래트너,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2011-11-17,미국,213,90840,액션,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=타워 하이스트%09&section=all&ie=utf8,7.54,  액션  코미디  범죄   미국 분     감독   브렛 래트너 출연   벤 스틸러  에디 머피
674,헝거게임: 모킹제이,프란시스 로렌스,라이온스 게이트 필름즈,(주)누리픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,2014-11-20,미국,630,854377,어드벤처,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=헝거게임: 모킹제이%09&section=all&ie=utf8,7.54,  판타지  액션   미국 분     감독   프란시스 로렌스 출연   제니퍼 로렌스  리암 헴스워스  줄리안 무어  조쉬 허처슨  필립 세이모어 호프만  우디 해럴슨  엘리자베스 뱅크스  제프리 라이트  스탠리 투치  도날드 서덜랜드  윌로우 쉴즈  샘 클라플린  지나 말론  마허샬라 알리   액션  판타지   미국 분     감독   프란시스 로렌스 출연   제니퍼 로렌스  조쉬 허처슨  리암 헴스워스
675,심장이 뛴다,윤재근,"(주)오죤필름,(유)대결문화산업전문회사",,롯데쇼핑㈜롯데엔터테인먼트,2011-01-05,한국,445,1006947,드라마,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=심장이 뛴다%09&section=all&ie=utf8,7.54,  드라마   한국 분     감독   윤재근 출연   김윤진  박해일   한국     감독   정준기  최삼호 출연   조동혁  전혜빈  장동혁  최우식
676,극장판 위 베어 베어스: 곰 브라더스,매니 에르난데스,,터너코리아 유한회사,(주)팝엔터테인먼트,2017-08-24,미국,307,32021,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=극장판 위 베어 베어스: 곰 브라더스%09&section=all&ie=utf8,7.55,  애니메이션  코미디   미국 분     감독   매니 에르난데스 출연   송준석  김명준  이주창
677,비스틀리,다니엘 반즈,,(주)누리픽쳐스,(주)넥스트엔터테인먼트월드(NEW),2011-03-17,미국,214,134025,드라마,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=비스틀리%09&section=all&ie=utf8,7.55,  판타지  드라마  멜로로맨스   미국 분     감독   다니엘 반즈 출연   바네사 허진스  알렉스 페티퍼
678,육혈포 강도단,강효진,(주)전망좋은 영화사,,롯데쇼핑㈜롯데엔터테인먼트,2010-03-18,한국,319,1233582,코미디,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=육혈포 강도단%09&section=all&ie=utf8,7.55,  범죄  코미디   한국 분     감독   강효진 출연   나문희  김수미  김혜옥
