,영화명,감독,제작사,수입사,배급사,개봉일,국적,전국스크린수,전국관객수,장르,등급,url,movie_star,배우
1214,퓨리,데이비드 에이어,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-11-20,미국,590,1362114,액션,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=퓨리%09&section=all&ie=utf8,8.65,  액션  드라마  전쟁   미국  영국 분     감독   데이비드 에이어 출연   브래드 피트  로건 레먼  샤이아 라보프   범죄  드라마  멜로로맨스   미국 분     감독   프리츠 랑 출연   실비아 시드니  스펜서 트레이시   애니메이션  모험 분     감독   톰 오웬스 출연   제이 바루첼  제라드 버틀러  크레이그 퍼거슨  아메리카 페레라   코미디   영국 분     감독   제임스 그리피스 출연   크리스 오다우드  라시다 존스  닉 프로스트   모험  코미디  가족  판타지   덴마크  독일 분     감독   애스크 해쎌바르크 출연   오스카 디에츠  사무엘 팅 그라프  아밀리 크루제 젠슨  아스트리드 욘거벤존  남   출생년도    관련영화   두 영혼의 남자  크라임 오브 패션  비탄  남   출생년도    관련영화   닥터 게논  우르수스  역  드미트리우스와 검투사들  남   출생년도    관련영화   드라이브 미 투 베가스 앤 마스  감독각본제작  더 디펜더블  감독  컨덕트 언비커밍  감독  남   출생년도    관련영화   코멘터리 더 뮤지컬  찬스  뱀파이어 해결사   리뎀프션  기획  로스트 시즌  각본프로듀서  엔젤  각본  여   출생년도    관련영화   락온  아말  더티 워  배역명   브라이언 퓨리영화명   철권   감독   드와이트  리틀  배역명    닉 퓨리영화명   아이언맨   감독   존 파브로  배역명   닉 퓨리영화명   토르 천둥의 신   감독   케네스 브래너  배역명   닉 퓨리영화명   캡틴 아메리카 윈터 솔져   감독   조 루소  안소니 루소  배역명   닉 퓨리영화명   어벤져스   감독   조스 웨던
1215,코알라 키드 : 영웅의 탄생,이경호,"㈜디지아트프로덕션,더 애니메이션 픽쳐 컴퍼니",,롯데쇼핑㈜롯데엔터테인먼트,2012-01-12,한국,234,205579,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=코알라 키드 : 영웅의 탄생%09&section=all&ie=utf8,8.65,  애니메이션   한국  미국 분     감독   이경호 출연   태민  써니  윤다훈  정은별
1216,건축학개론,이용주,(주)명필름,,롯데쇼핑㈜롯데엔터테인먼트,2012-03-22,한국,593,4110645,멜로/로맨스,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=건축학개론%09&section=all&ie=utf8,8.65,  멜로로맨스   한국 분     감독   이용주 출연   엄태웅  한가인  이제훈  수지
1217,앤트맨,페이튼 리드,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-09-03,미국,949,2839921,액션,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=앤트맨%09&section=all&ie=utf8,8.66,  액션  모험     미국 분     감독   페이튼 리드 출연   폴 러드  에반젤린 릴리  마이클 더글라스  미셸 파이퍼  로렌스 피시번  마이클 페나  해나 존케이먼   코미디   독일 분     감독   크리스토프 갬플 출연   괴츠 오토  야스미나 필라리 보넨   액션     미국  영국 분     감독   페이튼 리드 출연   폴 러드  마이클 더글라스  에반젤린 릴리  코리 스톨  여   관련영화   야망의 그림자  배역명   스캇 랭  앤트맨영화명   캡틴 아메리카 시빌 워   감독   안소니 루소  조 루소  배역명   스캇 랭  앤트맨영화명   앤트맨과 와스프   감독   페이튼 리드
1218,앤트맨과 와스프,페이튼 리드,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-07-04,미국,1775,5438152,액션,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=앤트맨과 와스프%09&section=all&ie=utf8,8.66,  액션  모험     미국 분     감독   페이튼 리드 출연   폴 러드  에반젤린 릴리  마이클 더글라스  미셸 파이퍼  로렌스 피시번  마이클 페나  해나 존케이먼
1219,극장판 파워레인저: 애니멀포스 VS 닌자포스 미래에서 온 메시지 ,타케모토 노보루,,대원미디어(주),(주)넥스트엔터테인먼트월드(NEW),2017-11-09,일본,370,65895,액션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=극장판 파워레인저: 애니멀포스 VS 닌자포스 미래에서 온 메시지 %09&section=all&ie=utf8,8.66,  액션   일본 분     감독   타케모토 노보루 출연   나카오 마사키  야나기 미키  난바 쇼헤이  와타나베 츠루기  타테이시 하루카  쿠니시마 나오키  니시카와 슌스케  마츠모토 가쿠
1220,아메리칸 스나이퍼,클린트 이스트우드,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-01-14,미국,308,344766,액션,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=아메리칸 스나이퍼%09&section=all&ie=utf8,8.67,  액션   미국 분     감독   클린트 이스트우드 출연   브래들리 쿠퍼  시에나 밀러  제이크 맥더맨  루크 그림즈  카일 갈너
1221,월터의 상상은 현실이 된다,벤 스틸러,,"유니콘텐츠,주식회사 레드아이스,이십세기폭스코리아(주)","글뫼 주식회사,이십세기폭스코리아(주)",2013-12-31,미국,378,941672,어드벤처,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=월터의 상상은 현실이 된다%09&section=all&ie=utf8,8.67,  모험  드라마  판타지   미국 분     감독   벤 스틸러 출연   벤 스틸러  크리스틴 위그  숀 펜  셜리 맥클레인
1222,워크래프트: 전쟁의 서막,던칸 존스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-06-09,미국,736,1163120,액션,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=워크래프트: 전쟁의 서막%09&section=all&ie=utf8,8.67,  액션  모험  판타지   미국 분     감독   던칸 존스 출연   트래비스 핌멜  벤 포스터  토비 켑벨  폴라 패튼  클랜시 브라운  도미닉 쿠퍼
1223,블랙 스완,대런 아로노프스키,,이십세기폭스코리아(주),이십세기폭스코리아(주),2011-02-24,미국,294,1623199,드라마,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=블랙 스완%09&section=all&ie=utf8,8.67,  드라마  스릴러   미국 분     감독   대런 아로노프스키 출연   나탈리 포트만  뱅상 카셀  밀라 쿠니스
