영화명,개봉일,스크린수,스크린점유율
나루토 질풍전 극장판 4 - 더 로스트 타워,2010-12-02,58,0.00 
레고:클러치파워의 모험,2010-06-10,56,0.00 
인 디 에어,2010-03-11,52,0.00 
쏘우-여섯번의 기회,2010-01-07,49,0.00 
동쪽의 에덴 극장판 ① 더 킹오브 에덴,2010-01-28,48,0.00 
춤추는 꿈틀이 밴드,2010-02-04,47,0.00 
테라 3D: 인류 최후의 전쟁,2010-11-04,47,0.00 
아마존의 눈물,2010-03-25,47,0.00 
페어러브,2010-01-14,45,0.00 
러브 매니지먼트,2009-12-31,43,0.00 
하비의 마지막 로맨스,2010-10-28,41,0.00 
어쿠스틱,2010-10-28,34,0.00 
요술,2010-06-24,33,0.00 
불타는 내 마음,2010-03-25,33,0.00 
초합금 로보트 쏠라 123,2010-05-01,32,0.00 
토너먼트,2010-09-02,31,0.00 
고스트: 보이지 않는 사랑,2010-11-25,31,0.00 
밀크,2010-02-25,31,0.00 
사요나라 이츠카,2010-04-15,31,0.00 
귀 鬼,2010-06-10,30,0.00 
라이브 인 3D 휘성 : 잇츠 리얼,2010-09-30,30,0.00 
노다메 칸타빌레 Vol.1,2010-09-09,30,0.00 
벡,2010-11-18,30,0.00 
심장이 뛴다,2011-01-05,29,0.00 
스즈미야 하루히의 소실,2010-11-11,28,0.00 
2AM SHOW,2010-12-09,27,0.00 
하하하,2010-05-05,26,0.00 
더 도어,2010-09-02,26,0.00 
싱글맨,2010-05-27,25,0.00 
예언자,2010-03-11,25,0.00 
여의도,2010-12-02,24,0.00 
닌자 어쌔신,2009-11-26,23,0.00 
리키,2010-02-04,23,0.00 
라임라이프,2010-09-02,23,0.00 
옥희의 영화,2010-09-16,22,0.00 
하얀 아오자이,2010-02-25,21,0.00 
