영화명,개봉일,스크린수,스크린점유율
내비게이션,2014-07-03,8,0.00 
안녕?! 오케스트라,2013-11-28,8,0.00 
머드,2013-11-28,8,0.00 
코리아,2012-05-03,8,0.00 
지옥화,2014-11-06,8,0.00 
천리마 축구단,2005-08-26,8,0.00 
국경의 남쪽,2006-05-04,8,0.00 
벨벳 골드마인,1999-08-28,8,0.00 
"씨, 베토벤",2014-03-27,8,0.00 
할리우드 폭로전,2014-02-06,8,0.00 
프랑스인 김명실,2014-06-26,8,0.00 
바라: 축복,2014-06-05,8,0.00 
커피 한잔이 섹스에 미치는 영향,2014-06-26,8,0.00 
"파리오페라 발레의 별, 아녜스",2014-12-10,8,0.00 
룸13,2014-11-13,8,0.00 
지휘자를 위한 1분,2014-12-04,8,0.00 
체르노빌 다이어리,2014-02-13,8,0.00 
테레즈 데케루,2014-12-04,7,0.00 
로미오와 줄리엣,2014-10-23,7,0.00 
바세코의 아이들,2014-08-14,7,0.00 
랑랑 라이브 인 런던,2014-03-27,7,0.00 
리얼리티: 꿈의 미로,2014-04-03,7,0.00 
들개,2014-04-03,7,0.00 
플라잉 머신 3D,2014-01-09,7,0.00 
들개들,2014-01-23,7,0.00 
고스톱 살인,2014-03-20,7,0.00 
로사,2014-05-29,7,0.00 
우리가 들려줄 이야기,2014-03-13,6,0.00 
쇼트피스,2014-04-17,6,0.00 
마드모아젤 C,2014-01-02,6,0.00 
킹콩,2005-12-14,6,0.00 
화피 2,2014-01-29,6,0.00 
연애 징크스!!!,2014-02-13,6,0.00 
디셈버,2014-02-20,6,0.00 
부귀열차,1987-12-09,6,0.00 
용행천하,1992-05-07,6,0.00 
칠복성,1988-02-13,6,0.00 
간 큰 가족,2005-06-09,6,0.00 
고지전,2011-07-20,6,0.00 
은밀한 가족,2014-04-10,6,0.00 
스위니,2014-04-17,6,0.00 
화이트 스톰,2014-02-20,6,0.00 
트러블 메이커,2014-01-09,6,0.00 
트리쉬나,2014-03-20,6,0.00 
클로즈드 시즌: 욕망의 계절,2014-01-16,6,0.00 
"자, 이제 댄스타임",2014-06-26,6,0.00 
서울연애,2014-10-30,6,0.00 
청야,2013-12-26,6,0.00 
나인뮤지스; 그녀들의 서바이벌,2014-09-25,6,0.00 
신선조-혈풍,2014-11-06,6,0.00 
윌리엄 텔,2014-11-22,6,0.00 
다이노슈퍼게이터,2014-11-12,6,0.00 
폭렬성시,2014-11-12,6,0.00 
백여우 전설,2014-11-13,6,0.00 
에이리언 스카이라인,2014-11-13,6,0.00 
생존게임 247°F,2014-09-24,6,0.00 
레디액션! 폭력영화,2014-06-05,6,0.00 
아라벨라,2014-10-25,6,0.00 
황구,2014-10-16,6,0.00 
일 트로바토레,2014-09-20,6,0.00 
토네이도,2014-09-17,6,0.00 
거룩한 소녀 마리아,2014-10-23,6,0.00 
공각기동대 어라이즈 보더:3 고스트 티어즈,2014-07-17,6,0.00 
극장판: 타이거 앤 버니 -더 라이징-,2014-06-19,6,0.00 
나이팅게일,2014-09-25,6,0.00 
도노반스 에코,2014-01-16,5,0.00 
소울 오브 브레드,2013-12-26,5,0.00 
존 라베 : 난징 대학살,2014-03-20,5,0.00 
결혼전야,2013-11-21,5,0.00 
타인의 아내를 사랑하다,2014-01-09,5,0.00 
하늘에서 음식이 내린다면 2,2013-11-21,5,0.00 
동방불패 2,1993-02-20,5,0.00 
모험왕,1996-02-10,5,0.00 
흑금,1998-04-25,5,0.00 
영웅,1995-02-18,5,0.00 
연인,1992-06-20,5,0.00 
용재강호,1987-10-07,5,0.00 
성룡의 미라클,1989-09-13,5,0.00 
하이힐을 신은 여자는 위험하다,2013-12-25,5,0.00 
기연출사,1988-05-28,5,0.00 
공작왕,1989-01-21,5,0.00 
헝거게임: 캣칭 파이어,2013-11-21,5,0.00 
귀타귀,1981-04-17,5,0.00 
의개운천,1986-12-24,5,0.00 
특경도룡,1989-03-01,5,0.00 
틴토 브라스의 아모르,2014-11-13,5,0.00 
땡큐마담,1988-10-29,5,0.00 
007 북경특급 2,2014-05-01,5,0.00 
암전 2,2014-02-27,5,0.00 
흐르는 강물처럼,1993-04-24,5,0.00 
투 러버스,2014-01-23,5,0.00 
트윈 이펙트,2003-09-18,5,0.00 
암전,2000-02-19,5,0.00 
이연걸의 히트맨,1999-04-10,5,0.00 
나쁜 여자,2014-03-20,5,0.00 
미피의 동물원 보물찾기,2014-03-27,5,0.00 
촉산전,2002-03-29,5,0.00 
불륜의 맛,2014-03-27,5,0.00 
예스 마담3-중화전사,1988-05-05,5,0.00 
신의 전사,2014-04-17,5,0.00 
쌍성계: 고대전설의 부활,2014-03-27,5,0.00 
포르노 메이커,2014-04-10,5,0.00 
수호지-강철 보갑,2014-04-10,5,0.00 
라보엠,2014-04-19,5,0.00 
마녀사냥꾼,2014-04-10,5,0.00 
신부의 아이들,2014-04-17,5,0.00 
은밀하게 음란하게,2014-04-10,5,0.00 
여자의 정사,2014-04-17,5,0.00 
용호상조,1988-09-24,5,0.00 
미션 13,2014-04-24,5,0.00 
수호지-강호의 장청,2014-04-17,5,0.00 
신의 선물,2014-04-10,5,0.00 
사랑이 필요할 때,2014-03-20,5,0.00 
콜로니 : 지구 최후의 날,2014-02-13,5,0.00 
더 뮬: 죽음의 질주,2014-03-13,5,0.00 
포화속의 우정,2014-02-27,5,0.00 
라이 위드 미 감독판,,5,0.00 
패가자,1988-03-26,5,0.00 
도화선 무삭제 확장판,,5,0.00 
파이오니아,2014-02-27,5,0.00 
대무생,2014-02-27,5,0.00 
페인트볼,2014-03-06,5,0.00 
추적자,2014-03-06,5,0.00 
노호광,1992-12-05,5,0.00 
비.에이.패스: 불륜의 늪,2014-04-10,5,0.00 
누드 모델,2014-03-20,5,0.00 
고스트 킬러: 모니카,2014-03-27,5,0.00 
비행소년,2014-01-15,5,0.00 
워리어스 레인보우: 항전의 시작,2014-02-20,5,0.00 
알파: 바르셀로나 마피아,2014-02-20,5,0.00 
사일런트 스크림,2014-01-29,5,0.00 
유혹의 기술,2014-01-23,5,0.00 
스티븐 시걸의 비밀경찰,2014-01-29,5,0.00 
솔로,2014-03-20,5,0.00 
엘로이즈: 그녀들의 사랑,2014-02-06,5,0.00 
비밀과외,2014-02-13,5,0.00 
전망 좋은 하우스 - 맛있는 섹스,2014-02-20,5,0.00 
해피엔딩 네버엔딩,2014-02-13,5,0.00 
위험한 패밀리 패밀리 에디션,,5,0.00 
메트로: 마지막 탈출,2014-02-13,5,0.00 
디아즈: 이 피를 지우지 말라,2014-04-17,5,0.00 
투 더 원더,2014-03-06,5,0.00 
스위치: 부춘산거도,2014-01-29,5,0.00 
블라인드 디텍티브,2014-01-23,5,0.00 
굿모닝 하트에이크,2014-01-09,5,0.00 
클린스킨,2014-01-01,5,0.00 
코뿔소의 계절,2014-01-16,5,0.00 
몽정애-꿈 속의 여인,2013-12-31,5,0.00 
컨트롤,2014-01-09,5,0.00 
사대명포 2,2014-01-16,5,0.00 
정사2013,2014-01-02,5,0.00 
살인의 기억,2014-12-18,5,0.00 
스페이스 배틀쉽,2014-12-18,5,0.00 
스타쉽 라이징,2014-12-24,5,0.00 
우주전쟁: 지구 최후의 날,2014-12-24,5,0.00 
대영웅 소남인,2014-12-24,5,0.00 
극장판 파이널 <하늘의 유실물 : 영원한 나의 새장>,2015-01-01,5,0.00 
비르: 위대한 전사,2014-12-30,5,0.00 
그녀가 부른다,2013-12-26,5,0.00 
"나의 사랑, 나의 신부",1990-12-29,5,0.00 
명기,2014-12-30,5,0.00 
라보엠,2014-12-20,5,0.00 
변종샤크,2014-12-11,5,0.00 
뽕2014,2014-12-11,5,0.00 
달사람,2014-11-13,5,0.00 
꽃과 뱀: 더 제로,2014-09-17,5,0.00 
맥아더 : 일본 침몰에 관한 불편한 해석,2014-07-17,5,0.00 
마술피리,2014-08-02,5,0.00 
머나먼 세상속으로,2014-07-31,5,0.00 
투 워리어스,2014-05-22,5,0.00 
키리시마가 동아리활동 그만둔대,2014-06-26,5,0.00 
인 데어 스킨,2014-05-29,5,0.00 
돈 카를로,2014-05-31,5,0.00 
마네의 제비꽃 여인: 베르트 모리조,2014-07-03,5,0.00 
음모자들,2014-06-12,5,0.00 
카프리치오,2014-07-05,5,0.00 
왓니껴,2014-08-21,5,0.00 
춘하추동 로맨스,2014-12-04,5,0.00 
귀신을 보는 눈: 동안,2014-04-24,5,0.00 
수호지: 천하대인,2014-05-08,5,0.00 
패밀리 S다이어리,2014-04-24,5,0.00 
미국인친구,2014-06-12,5,0.00 
피의 만우절,2014-04-24,5,0.00 
예스 마담-황가사저,1986-07-19,5,0.00 
피해자들,2014-07-31,5,0.00 
토스카나 웨딩,2014-04-30,5,0.00 
방콕 킥복서,2014-04-30,5,0.00 
수호지: 명포배선,2014-05-01,5,0.00 
잡가소수,2014-05-01,5,0.00 
킬엠올,2014-05-01,5,0.00 
시베리안 에듀케이션,2014-06-04,5,0.00 
둠스데이 2014,2014-05-08,5,0.00 
비도권운산,1981-08-08,5,0.00 
강시: 리거모티스,2014-05-22,5,0.00 
스티븐 시걸의 CIA,2014-03-20,5,0.00 
징기스칸 2014,2014-03-20,5,0.00 
운명의 산 낭가 파르밧,2013-12-12,4,0.00 
친구 2,2013-11-14,4,0.00 
지슬 - 끝나지 않은 세월2,2013-03-21,4,0.00 
스타트렉 다크니스,2013-05-30,4,0.00 
러시안 소설,2013-09-19,4,0.00 
히마와리와 나의 7일,2014-09-25,4,0.00 
땡큐마담 2,1989-05-05,4,0.00 
메달리온,2003-10-24,4,0.00 
동경 이야기,2014-08-16,4,0.00 
스탈린그라드: 최후의 전투,1997-06-28,4,0.00 
비밀과 거짓말,1996-09-21,4,0.00 
카토 프로젝트,2014-04-17,4,0.00 
갤로워커: 블레이드의 귀환,2014-04-10,4,0.00 
일대고수,2014-02-27,4,0.00 
도서관 전쟁,2014-03-27,4,0.00 
나가요 미스콜,2014-03-13,4,0.00 
피카소: 명작스캔들,2014-03-20,4,0.00 
독수리오형제,2014-02-20,4,0.00 
글로리아,2013-12-05,4,0.00 
보호자,2014-04-10,4,0.00 
블랙 가스펠,2013-11-14,4,0.00 
8광구: 몬스터의 부활,2014-12-23,4,0.00 
설해,2015-01-08,4,0.00 
파라노말 이니테이션,2014-12-18,4,0.00 
길위에서,2013-05-23,4,0.00 
꽃과 뱀 3,2014-11-20,4,0.00 
에이리언 스페이스,2014-11-20,4,0.00 
몬스터 울프,2014-11-20,4,0.00 
워킹걸,2015-01-07,4,0.00 
넥스트 투모로우 2,2014-11-27,4,0.00 
정사: 위험한 성적유희,2014-11-27,4,0.00 
드라큘라 2014,2014-10-07,4,0.00 
토미웅거러 스토리,2014-11-13,4,0.00 
헬리,2014-08-28,4,0.00 
돌이킬 수 없는,2014-10-02,4,0.00 
미조,2014-10-02,4,0.00 
판타스틱 단편 걸작선 3,,4,0.00 
헬벤더스: 최후의 성전,2014-05-01,4,0.00 
윤희,2014-01-09,3,0.00 
퍼지,2014-05-29,3,0.00 
영 앤 뷰티풀,2013-12-05,3,0.00 
라 붐,2013-10-24,3,0.00 
코알라,2013-10-24,3,0.00 
명왕성,2013-07-11,3,0.00 
잠 못 드는 밤,2013-05-30,3,0.00 
트랜스포머: 패자의 역습,2009-06-24,3,0.00 
트랜스포머,2007-06-28,3,0.00 
피아니스트,2003-01-01,3,0.00 
트랜스포머 3,2011-06-29,3,0.00 
디어 평양,2006-11-23,3,0.00 
예고살인자,2014-05-08,3,0.00 
피아니스트,,3,0.00 
청춘예찬,2014-01-02,3,0.00 
별일아니다,2014-02-13,3,0.00 
장형윤 감독 특별 기획전,,3,0.00 
루살카,2014-05-24,3,0.00 
코지 판 투테,2014-09-20,3,0.00 
토스카,2014-03-15,3,0.00 
스타렛,2014-02-20,3,0.00 
와일드 빌,2013-12-19,3,0.00 
논스톱: 분노의 질주,2013-11-28,3,0.00 
지젤,2014-01-23,3,0.00 
건,2013-12-26,3,0.00 
브룩클린 브라더스,2014-01-09,3,0.00 
프라이버시,2013-06-13,3,0.00 
사이비,2013-11-21,3,0.00 
문라이즈 킹덤,2013-01-31,3,0.00 
미스 좀비,2014-01-16,3,0.00 
어떤 시선,2013-10-24,3,0.00 
호세마리아 신부의 길,2013-11-28,3,0.00 
두 번째 엄마,2014-12-31,3,0.00 
아메리칸 섹스 파티,2014-12-30,3,0.00 
"그녀, 섹스의 시작",2014-12-30,3,0.00 
팅커 테일러 솔저 스파이,2012-02-09,3,0.00 
어우동: 주인 없는 꽃,2015-01-29,3,0.00 
"앵두야, 연애하자",2013-06-06,3,0.00 
하이킥 엔젤스,2015-01-01,3,0.00 
원스,2007-09-20,3,0.00 
라 체네렌톨라,2014-11-01,3,0.00 
꼬마 유령,2015-06-11,3,0.00 
원 컷 - 어느 친절한 살인자의 기록,2014-09-11,3,0.00 
판타스틱 단편 걸작선 2,,3,0.00 
죽음의 천사,2014-05-29,3,0.00 
이쁜 것들이 되어라,2014-04-17,3,0.00 
미드나잇 인 파리,2012-07-05,3,0.00 
우리 선희,2013-09-12,2,0.00 
갬빗,2013-11-28,2,0.00 
아너,2014-12-11,2,0.00 
크리스마스 스타,2014-12-04,2,0.00 
비호외전,2014-12-18,2,0.00 
아메리칸 스나이퍼,2015-01-14,2,0.00 
네버다이 버터플라이,2013-10-17,2,0.00 
남과 북,,2,0.00 
넥스트 제네레이션 패트레이버4,2014-11-13,2,0.00 
SIFF2014-인디극장1,,2,0.00 
"가볍게, 더 높이",,2,0.00 
개인교수 2014,2014-10-08,2,0.00 
나의 멋진 친구들,2014-10-23,2,0.00 
성범죄 수사대,2014-10-16,2,0.00 
시베리아 횡단열차: 대탈주,2014-10-23,2,0.00 
기디언 경감,,2,0.00 
아메리칸 셰프,2015-01-07,2,0.00 
미아와 알렉산드라,,2,0.00 
2014 칸 국제광고제 수상작 특별상영회,,2,0.00 
당신의 벽이 속삭일때,2014-12-18,2,0.00 
판타스틱 단편 걸작선 1,,2,0.00 
판타스틱 단편 걸작선 9,,2,0.00 
판타스틱 단편 걸작선 10,,2,0.00 
판타스틱 단편 걸작선 11,,2,0.00 
판타스틱 단편 걸작선 12,,2,0.00 
판타스틱 단편 걸작선 14 - 제 4기 피판 청소년 영화 아카데미 콜렉션,,2,0.00 
2014 베를린 필하모닉 발트뷔네 콘서트,2014-08-04,2,0.00 
코드 레드,2014-06-19,2,0.00 
안전은 보장할 수 없음,2014-06-12,2,0.00 
울프 앳 더 도어,2014-07-10,2,0.00 
벽 속의 여자,,2,0.00 
숲의 전설,2014-07-24,2,0.00 
구화영웅,2014-06-26,2,0.00 
내 어머니의 인생,,2,0.00 
리댁티드,2014-04-03,2,0.00 
코비: 블루 엘리펀트의 전설,2013-12-05,2,0.00 
오싱,2013-12-05,2,0.00 
나바론 요새,1974-07-20,2,0.00 
멜랑콜리아,2012-05-17,2,0.00 
블루 발렌타인,2012-05-31,2,0.00 
닥터 지바고,1978-01-01,2,0.00 
"1999, 면회",2013-02-21,2,0.00 
카르멘,2012-11-10,2,0.00 
황제펭귄 펭이와 솜이,2012-08-08,2,0.00 
극장판: 타이거 앤 버니,2013-02-28,2,0.00 
태양은 밝게 빛난다,,2,0.00 
에반게리온: Q,2013-04-25,2,0.00 
그 강아지 그 고양이,2013-12-12,2,0.00 
문빔베어: 달을 사랑한 작은 곰,2013-05-01,2,0.00 
폭풍의 언덕,,2,0.00 
"페어웰, 마이 퀸",2013-12-05,2,0.00 
네 멋대로 해라,,2,0.00 
하나와 앨리스,2004-11-17,2,0.00 
해저 2만리,,2,0.00 
티파니에서 아침을,2011-08-26,2,0.00 
오페라의 유령 : 25주년 특별 공연,,2,0.00 
쌍자신투,2014-10-16,2,0.00 
원 데이,2012-12-13,2,0.00 
킹스 스피치,2011-03-17,2,0.00 
박쥐,2009-04-30,2,0.00 
천하장사 마돈나,2006-08-31,2,0.00 
스틸라이프,2007-06-14,2,0.00 
밀애,2002-11-07,2,0.00 
소명 2-모겐족의 월드컵,2010-04-01,2,0.00 
말아톤,2005-01-27,2,0.00 
써니,2011-05-04,2,0.00 
올드보이,2003-11-21,2,0.00 
몬스터 대학교,2013-09-12,2,0.00 
침묵의 목격자,2014-05-29,2,0.00 
슈퍼히어로의 진실,2014-04-10,2,0.00 
미라클맨,2014-04-17,2,0.00 
인디피크닉플러스 - 단편3: 나의 아름다운 영화만들기,,2,0.00 
페이퍼맨,2014-05-01,2,0.00 
존은 끝에 가서 죽는다,2014-03-13,2,0.00 
실버라이닝 플레이북,2013-02-14,2,0.00 
화창한 그날들,2014-03-14,2,0.00 
고스트 패밀리: 구출 대작전,2014-03-27,2,0.00 
라 보엠,2014-08-02,2,0.00 
베르테르,2014-07-12,2,0.00 
프린스 이고르,2014-06-21,2,0.00 
팔스타프,2014-04-19,2,0.00 
더 노즈,2014-02-22,2,0.00 
에프게니 오네긴,2014-01-25,2,0.00 
라이프 오브 시몬,2014-03-06,2,0.00 
SM작가,2014-02-06,2,0.00 
잉투기,2013-11-14,2,0.00 
백은제국,2013-12-24,2,0.00 
에비던스,2013-12-26,2,0.00 
화도대전,2014-10-08,2,0.00 
오래된 인력거,2011-12-15,2,0.00 
호수의 이방인,,2,0.00 
마지막 4중주,2013-07-25,2,0.00 
노라노,2013-10-31,2,0.00 
이고르와 학의 여행,2013-08-01,2,0.00 
프리버즈: 밍쿠와 찌아의 도시 대탈출,2013-09-17,2,0.00 
우리도 사랑일까,2012-09-27,2,0.00 
동사서독 리덕스,2013-12-05,2,0.00 
말하는 건축 시티:홀,2013-10-24,2,0.00 
바람과 함께 사라지다,1972-12-23,1,0.00 
당신을 오랫동안 사랑했어요,2010-01-07,1,0.00 
친구사이?,2009-12-17,1,0.00 
샘터분식-그들도 우리처럼,2009-11-26,1,0.00 
더 도어,2010-09-02,1,0.00 
러브 송,2010-04-08,1,0.00 
걸어도 걸어도,2009-06-18,1,0.00 
똥파리,2009-04-16,1,0.00 
할매꽃,2009-03-19,1,0.00 
네 번의 결혼식과 한 번의 장례식,1994-07-16,1,0.00 
바그다드 카페,1993-07-17,1,0.00 
서편제,1993-04-10,1,0.00 
디바,1995-04-22,1,0.00 
네이키드,1994-05-21,1,0.00 
천장지구,1990-10-13,1,0.00 
엘비라 마디간,1974-01-01,1,0.00 
누가 로저래빗을 모함했나,1990-08-17,1,0.00 
여왕 마고,1994-10-29,1,0.00 
랑데뷰,1993-07-24,1,0.00 
레드,1994-09-17,1,0.00 
자유로운 세계,2008-09-25,1,0.00 
어웨이 프롬 허,2008-03-27,1,0.00 
벤자민 버튼의 시간은 거꾸로 간다,2009-02-12,1,0.00 
맘마미아!,2008-09-03,1,0.00 
무용,2008-05-22,1,0.00 
석양의 갱들,,1,0.00 
누나,,1,0.00 
내일의 팔도강산,1971-01-12,1,0.00 
전화의 저편,,1,0.00 
베이비 길들이기,,1,0.00 
개구장이 도련님,,1,0.00 
산의 소리,,1,0.00 
나는 고백한다,,1,0.00 
포세이돈 어드벤쳐,1974-02-27,1,0.00 
독고탁 다시 찾은 마운드,1985-08-13,1,0.00 
대복성,1985-07-14,1,0.00 
동방독응,1987-12-26,1,0.00 
엑스칼리버,1981-12-25,1,0.00 
블루스 브라더스,1981-12-20,1,0.00 
사막의 라이온,1981-12-17,1,0.00 
로맨스 그레이,1979-02-09,1,0.00 
보디히트,1982-02-12,1,0.00 
애정의 조건,1984-03-31,1,0.00 
바보선언,1984-03-01,1,0.00 
터미네이터,1984-12-22,1,0.00 
백경,2008-03-15,1,0.00 
아웃오브 아프리카,1986-12-24,1,0.00 
육체의 악마,1989-03-04,1,0.00 
마지막 전투,2000-10-07,1,0.00 
파이트 클럽,1999-11-13,1,0.00 
정복자 펠레,1989-07-15,1,0.00 
내 이름은 독고탁,1984-07-15,1,0.00 
쉘부르의 우산,1992-09-26,1,0.00 
석양의 무법자,2008-07-15,1,0.00 
옛날 옛적 서부에서,2008-07-11,1,0.00 
4월 이야기,2000-04-08,1,0.00 
금지된 사랑,1993-02-13,1,0.00 
빅,1989-07-15,1,0.00 
자유부인 '81,1981-06-13,1,0.00 
"안녕, 사요나라",2005-11-25,1,0.00 
노킹 온 헤븐스 도어,1998-02-28,1,0.00 
캐치 미 이프 유 캔,2003-01-24,1,0.00 
원스 어폰 어 타임 인 아메리카,1984-12-10,1,0.00 
혐오스런 마츠코의 일생,2007-04-12,1,0.00 
정사,2003-10-31,1,0.00 
화양연화,2000-10-20,1,0.00 
반생연,1999-02-06,1,0.00 
주온 2,2003-09-05,1,0.00 
유로파유로파,1998-05-23,1,0.00 
뽕똘,2011-08-25,1,0.00 
더 콘서트,2010-11-25,1,0.00 
멋진 인생,,1,0.00 
황야의 결투,2010-11-30,1,0.00 
바흐 이전의 침묵,2010-10-21,1,0.00 
그을린 사랑,2011-07-21,1,0.00 
지난 해 마리앙바드에서,2008-10-15,1,0.00 
신곡,,1,0.00 
변방에서 중심으로_독립영화에 대한 특별한 시선,,1,0.00 
용산,,1,0.00 
실물보다 큰,2010-11-28,1,0.00 
국도올빼미 상영회,,1,0.00 
인생은 소설이다,2008-10-14,1,0.00 
레즈비언 정치도전기,,1,0.00 
분노의 포도,,1,0.00 
국도화끈한극장,,1,0.00 
오페라-라보엠(메트로폴리탄),,1,0.00 
슬픔이여 안녕,,1,0.00 
나쁜 피,1994-12-10,1,0.00 
선탠하는 사람들,2008-06-05,1,0.00 
역마차,,1,0.00 
인 어 베러 월드,2011-06-23,1,0.00 
의식,,1,0.00 
세브린느,1971-05-08,1,0.00 
수영장,,1,0.00 
지하실의 멜로디,2008-07-01,1,0.00 
황야의 무법자,1977-07-30,1,0.00 
석양의 건맨,2008-07-15,1,0.00 
여름이 준 선물,,1,0.00 
로미오와 줄리엣,,1,0.00 
악의 손길,2008-11-24,1,0.00 
레드 리버,,1,0.00 
보바리 부인,,1,0.00 
리오 브라보,,1,0.00 
피서지에서 생긴 일,1972-08-19,1,0.00 
소매치기,,1,0.00 
파계,,1,0.00 
선셋 대로,,1,0.00 
파리의 아메리카인,,1,0.00 
젊은이의 양지,1972-10-28,1,0.00 
모로코,,1,0.00 
그랜드 호텔,,1,0.00 
스카페이스,,1,0.00 
사랑은 비를 타고,,1,0.00 
말 없는 사나이,,1,0.00 
지상 최대의 쇼,,1,0.00 
모감보,,1,0.00 
지상에서 영원으로,,1,0.00 
백만장자와 결혼하는 법,,1,0.00 
진홍의 여왕,,1,0.00 
나이아가라,,1,0.00 
사브리나,,1,0.00 
춘희,,1,0.00 
애천,,1,0.00 
7인의 신부,1972-12-24,1,0.00 
원한의 도곡리 다리,,1,0.00 
케인호의 반란,,1,0.00 
단 한번뿐인 삶,,1,0.00 
스타 탄생,,1,0.00 
로빈 훗의 모험,,1,0.00 
우리들의 낙원,,1,0.00 
사라진 여인,,1,0.00 
링컨,,1,0.00 
진짜로 일어날지도 몰라 기적,2011-12-22,1,0.00 
마티,,1,0.00 
영 앳 하트,,1,0.00 
오만과 편견,,1,0.00 
부운,,1,0.00 
수색자,,1,0.00 
폼페이 최후의 날,1976-01-31,1,0.00 
게리 쿠퍼의 재회,,1,0.00 
열정의 랩소디,,1,0.00 
"버스, 정류장",,1,0.00 
목로주점,,1,0.00 
애꾸눈 잭,,1,0.00 
아이들의 시간,,1,0.00 
마음의 행로,,1,0.00 
미니버 부인,,1,0.00 
파리의 연인,,1,0.00 
왕자와 무희,,1,0.00 
투 로드 투게더,,1,0.00 
폭군 이반 1부,,1,0.00 
인생유전,,1,0.00 
밀회,,1,0.00 
함정,,1,0.00 
정부,,1,0.00 
사랑할 때와 죽을 때,,1,0.00 
흑과 백,,1,0.00 
알라바마 이야기,,1,0.00 
007 살인번호,,1,0.00 
남태평양,1971-08-07,1,0.00 
폭군 이반 2부,,1,0.00 
뜨거운 양철 지붕 위의 고양이,,1,0.00 
지지,,1,0.00 
리버티 밸런스를 쏜 사나이,,1,0.00 
케이프 피어,,1,0.00 
서부 개척사,,1,0.00 
빅 컨츄리,,1,0.00 
안네의 일기,,1,0.00 
분홍신,,1,0.00 
올리버 트위스트,,1,0.00 
안나 카레니나,,1,0.00 
토일렛,2010-12-02,1,0.00 
수상한 이웃들,2011-04-14,1,0.00 
하트 비트,2010-11-25,1,0.00 
철마,2010-11-30,1,0.00 
굽이도는 증기선,2010-11-30,1,0.00 
모호크족의 북소리,,1,0.00 
경계도시,,1,0.00 
무셰트,,1,0.00 
자이언트,1974-02-28,1,0.00 
사냥꾼의 밤,,1,0.00 
구봉서의 벼락부자,,1,0.00 
인간의 시간,,1,0.00 
안개속의 풍경,1996-09-21,1,0.00 
오페라-호프만의 이야기,2010-02-06,1,0.00 
쉬린,,1,0.00 
히로시마 내사랑,2001-04-23,1,0.00 
세계의 욕망 : 디지털 삼인삼색 2005,,1,0.00 
렛 미 인,2010-11-18,1,0.00 
뜨겁게 젖은 사케의 비밀,2014-12-23,1,0.00 
필사의 추적,,1,0.00 
레즈,,1,0.00 
솔로몬과 시바의 여왕,1972-11-24,1,0.00 
7년만의 외출,,1,0.00 
사랑방 손님과 어머니,,1,0.00 
애니 홀,,1,0.00 
에어플레인,,1,0.00 
리치몬드 연애소동,,1,0.00 
블레이드 러너,,1,0.00 
소피의 선택,,1,0.00 
소나기,,1,0.00 
메가포스 군단,2014-11-19,1,0.00 
천국의 문,,1,0.00 
마음의 고향,,1,0.00 
에너미라인,2014-12-11,1,0.00 
오블로모프의 생애,,1,0.00 
황금연못,,1,0.00 
프렌치 커넥션,1972-05-27,1,0.00 
천국의 유령,,1,0.00 
허무한 마음,,1,0.00 
미치광이 피에로,,1,0.00 
친정어머니,,1,0.00 
장화홍련전,,1,0.00 
솔라리스,,1,0.00 
세자르와 로잘리,,1,0.00 
즐거운 인생,,1,0.00 
샤레이드,,1,0.00 
007 제2편 : 위기일발,1973-09-21,1,0.00 
톰 존스,,1,0.00 
어느 여배우의 고백,,1,0.00 
우리에게 내일은 없다,,1,0.00 
막차로 온 손님들,,1,0.00 
암흑가의 세 사람,,1,0.00 
뜨거운 포옹,,1,0.00 
아틀란티스 : 바다의 오페라,2014-07-30,1,0.00 
핑크,2012-03-15,1,0.00 
치코와 리타,2012-01-05,1,0.00 
그녀는 그것을 좋아해,,1,0.00 
마리아에게 경배를,,1,0.00 
비틀쥬스,,1,0.00 
살인 혐의,,1,0.00 
대학졸업영화제1,,1,0.00 
철목련,,1,0.00 
로저와 나,,1,0.00 
5번가의 비명,,1,0.00 
금지된 사랑,,1,0.00 
마리안의 허상,,1,0.00 
러브 호텔,2014-09-18,1,0.00 
위대한 계시,2011-11-24,1,0.00 
모차르트 락 오페라,2011-11-17,1,0.00 
맨헌터,,1,0.00 
스탠 바이 미,,1,0.00 
크럼,,1,0.00 
어우동,1985-09-28,1,0.00 
세계를 그대 품안에,,1,0.00 
내 이름은 조,,1,0.00 
오델로,,1,0.00 
리디큘,,1,0.00 
약속,,1,0.00 
초급 이태리어 강습,,1,0.00 
그날이 오면,,1,0.00 
미지의 코드,,1,0.00 
초콜릿,2001-02-23,1,0.00 
비버,2012-04-12,1,0.00 
인력자원부,,1,0.00 
편지,,1,0.00 
뒤죽박죽,,1,0.00 
약탈자들,2009-06-18,1,0.00 
휴머니티,,1,0.00 
나는 집으로 돌아가리라,,1,0.00 
네비게이터,,1,0.00 
베이징 락,,1,0.00 
환희의 집,,1,0.00 
베라 드레이크,,1,0.00 
토킹 픽처,,1,0.00 
블랙 키스,2014-08-28,1,0.00 
영광의 탈출,,1,0.00 
와일드 영,2014-02-27,1,0.00 
불확실성의 원리,,1,0.00 
"세브린느, 38년 후",,1,0.00 
토미리존스의 쓰리베리얼,2014-10-07,1,0.00 
미국 대지진,2014-07-08,1,0.00 
노인과 바다,,1,0.00 
몬티 파이튼의 성배,2011-01-18,1,0.00 
