순위,영화명,개봉일,좌석수,좌석점유율,관객수,좌석판매율,매출액,누적매출액,누적관객수
116,하숙집,2015-02-25,"3,880",0.00 ,630,16.20%,"3,305,000","3,305,000",630
116,가면무도회,2015-09-12,"8,212",0.00 ,629,7.60%,"15,340,500","15,490,500",659
116,내 친구의 아내,2015-12-03,"6,091",0.00 ,622,10.20%,"4,493,000","4,493,000",622
116,전망 좋은 집 2,2015-05-27,"3,568",0.00 ,605,16.90%,"3,032,000","3,032,000",605
116,남편만 몰라요,2015-07-07,"3,165",0.00 ,601,18.90%,"2,995,000","2,995,000",601
116,착한 처제,2015-11-19,"10,282",0.00 ,588,5.70%,"3,723,000","3,723,000",588
116,위대한 유산,2015-03-12,"6,722",0.00 ,574,8.50%,"9,252,000","9,252,000",574
116,맛2,2015-09-02,"3,556",0.00 ,569,16.00%,"2,852,000","2,852,000",569
116,용주골,2015-11-19,"9,090",0.00 ,562,6.10%,"2,823,000","2,823,000",562
116,잡아야 산다,2016-01-07,776,0.00 ,561,72.20%,"4,648,000","4,648,000",561
116,감금의 시간,2015-12-03,"6,361",0.00 ,555,8.70%,"3,310,000","3,310,000",555
116,색끈한 퓨전사극 심청야사,2015-12-17,"10,833",0.00 ,551,5.00%,"3,542,000","3,542,000",551
116,욜란타 & 푸른 수염의 성,2015-09-26,"4,550",0.00 ,551,12.10%,"13,431,000","13,431,000",551
116,고시원,2015-10-30,"7,703",0.00 ,524,6.80%,"3,380,000","3,380,000",524
116,포장마차,2015-10-01,"8,218",0.00 ,520,6.30%,"2,617,000","2,617,000",520
