영화명,감독,제작사,수입사,배급사,개봉일,국적,전국스크린수,전국관객수,장르,등급
불량남녀,신근호,"㈜트라이앵글픽쳐스,㈜비오비시네마",,(주)쇼박스,2010-11-04,한국,345,491207,코미디,15세이상관람가
무서운 이야기 2,"김성호,김휘,정범식,민규동","(주)수필름,데이지엔터테인먼트",,롯데쇼핑㈜롯데엔터테인먼트,2013-06-05,한국,337,492465,미스터리,15세이상관람가
캐치미,이현종,"(주)소넷엔터테인먼트,화이브라더스",,롯데쇼핑㈜롯데엔터테인먼트,2013-12-18,한국,517,492773,코미디,12세이상관람가
아부의 왕,정승구,(주)황금주전자,,롯데쇼핑㈜롯데엔터테인먼트,2012-06-21,한국,428,497880,코미디,15세이상관람가
남자사용설명서,이원석,(주)영화사소풍,,(주)쇼박스,2013-02-14,한국,372,507257,코미디,15세이상관람가
가려진 시간,엄태화,(주)바른손이앤에이,,(주)쇼박스,2016-11-16,한국,884,510878,드라마,12세이상관람가
헬머니,신한솔,"(주)전망좋은 영화사,TCO(주)더콘텐츠온",,(주)넥스트엔터테인먼트월드(NEW),2015-03-05,한국,422,519983,코미디,청소년관람불가
몬스터,황인호,상상필름(주),,롯데쇼핑㈜롯데엔터테인먼트,2014-03-13,한국,527,526282,스릴러,청소년관람불가
7년의 밤,추창민,"(주)바른손,씨제이이앤엠(주)",,씨제이이앤엠(주),2018-03-28,한국,872,528014,스릴러,15세이상관람가
챔프,이환경,"(주)씨엘엔터테인먼트,(주)대명문화공장,(주)예인문화,(주)화인웍스",,(주)쇼박스,2011-09-07,한국,288,528149,드라마,12세이상관람가
버닝,이창동,"파인하우스필름(주),나우필름(주)",,CGV아트하우스,2018-05-17,한국,739,528155,미스터리,청소년관람불가
사이코메트리,권호영,"(주)엠픽처스,(주)파워이엔티,㈜게이트픽쳐스",,씨제이이앤엠(주),2013-03-07,한국,429,531953,미스터리,청소년관람불가
너는 펫,김병곤,컴어나더(주),,롯데쇼핑㈜롯데엔터테인먼트,2011-11-10,한국,341,540972,멜로/로맨스,12세이상관람가
파파,한지승,상상필름(주),,롯데쇼핑㈜롯데엔터테인먼트,2012-02-01,한국,414,562156,가족,12세이상관람가
퀴즈왕,장진,소란플레이먼트(주),,(주)시네마서비스,2010-09-16,한국,323,583183,코미디,15세이상관람가
패션왕,오기환,"주식회사 와이랩,(주)노마드필름",,(주)넥스트엔터테인먼트월드(NEW),2014-11-06,한국,523,591125,코미디,15세이상관람가
황제를 위하여,박상준,오퍼스픽쳐스,,유나이티드픽처스(주),2014-06-11,한국,423,592041,액션,청소년관람불가
우는 남자,이정범,다이스필름(주),,씨제이이앤엠(주),2014-06-04,한국,508,599050,액션,청소년관람불가
반가운 살인자,김동욱,(주)영화사소풍,,롯데쇼핑㈜롯데엔터테인먼트,2010-04-08,한국,261,599176,코미디,15세이상관람가
이층의 악당,손재곤,(유)이층의 악당 문화산업전문회사,,(주)싸이더스,2010-11-24,한국,384,605224,코미디,15세이상관람가
서부전선,천성일,(주)하리마오픽쳐스,,롯데쇼핑㈜롯데엔터테인먼트,2015-09-24,한국,509,609063,전쟁,12세이상관람가
미쓰GO,박철관,영화사 도로시(주),,(주)넥스트엔터테인먼트월드(NEW),2012-06-21,한국,440,611685,액션,15세이상관람가
특종: 량첸살인기,노덕,"(주)우주필름,(주)뱅가드스튜디오",,롯데쇼핑㈜롯데엔터테인먼트,2015-10-22,한국,776,616481,스릴러,15세이상관람가
조선마술사,김대승,위더스필름(주),,롯데쇼핑㈜롯데엔터테인먼트,2015-12-30,한국,608,628576,드라마,12세이상관람가
플랜맨,성시흡,(주)영화사일취월장,,롯데쇼핑㈜롯데엔터테인먼트,2014-01-09,한국,458,632299,드라마,15세이상관람가
널 기다리며,모홍진,"(주)영화사수작,주식회사 모티브랩,(주)디씨지플러스",,(주)넥스트엔터테인먼트월드(NEW),2016-03-10,한국,551,634953,스릴러,청소년관람불가
사냥,이우철,(주)빅스톤픽쳐스,,롯데쇼핑㈜롯데엔터테인먼트,2016-06-29,한국,696,645922,액션,15세이상관람가
아빠는 딸,김형협,영화사김치(주),,메가박스중앙(주)플러스엠,2017-04-12,한국,520,646412,코미디,12세이상관람가
그날의 분위기,조규장,영화사 문(주),,(주)쇼박스,2016-01-14,한국,592,652453,멜로/로맨스,15세이상관람가
열정같은소리하고있네,정기훈,반짝반짝영화사(주),,(주)넥스트엔터테인먼트월드(NEW),2015-11-25,한국,566,654407,드라마,15세이상관람가
고양이: 죽음을 보는 두 개의 눈,변승욱,파인하우스필름(주),,(주)넥스트엔터테인먼트월드(NEW),2011-07-07,한국,304,670295,공포(호러),15세이상관람가
통증,곽경택,"(주)트로피엔터테인먼트,(주)영화사축제,(주)미스터로맨스",,롯데쇼핑㈜롯데엔터테인먼트,2011-09-07,한국,317,693101,멜로/로맨스,15세이상관람가
국가대표 2,김종현,케이엠컬쳐㈜,,메가박스중앙(주)플러스엠,2016-08-10,한국,562,703024,드라마,12세이상관람가
풍산개,전재홍,(주)김기덕 필름,,(주)넥스트엔터테인먼트월드(NEW),2011-06-23,한국,286,714102,드라마,청소년관람불가
더 파이브,정연식,(주)시네마서비스,,씨제이이앤엠(주),2013-11-14,한국,501,731212,스릴러,청소년관람불가
주유소 습격사건 2,김상진,"㈜감독의집,(주)시네마서비스",,(주)시네마서비스,2010-01-21,한국,322,742475,액션,15세이상관람가
스플릿,최국희,오퍼스픽쳐스,,오퍼스픽쳐스,2016-11-09,한국,702,757430,드라마,15세이상관람가
레슬러,김대웅,(주)안나푸르나필름,,롯데쇼핑㈜롯데엔터테인먼트,2018-05-09,한국,957,766131,드라마,15세이상관람가
나는 왕이로소이다,장규성,데이지엔터테인먼트,,롯데쇼핑㈜롯데엔터테인먼트,2012-08-08,한국,471,768971,사극,12세이상관람가
푸른소금,이현승,(주)미디어앤시네마스튜디오블루,,씨제이이앤엠(주),2011-08-31,한국,476,771699,액션,15세이상관람가
관능의 법칙,권칠인,(주)명필름,,롯데쇼핑㈜롯데엔터테인먼트,2014-02-13,한국,591,773996,드라마,청소년관람불가
상의원,이원석,"(주)영화사비단길,상의원문화산업전문(유)",,"(주)쇼박스,(주)와우픽쳐스",2014-12-24,한국,466,790158,사극,15세이상관람가
화이트: 저주의 멜로디,"김곡,김선",(주)두엔터테인먼트 ,,씨제이이앤엠(주),2011-06-09,한국,305,790954,공포(호러),15세이상관람가
카트,부지영,(주)명필름,,(주)리틀빅픽쳐스,2014-11-13,한국,544,799275,드라마,12세이상관람가
남쪽으로 튀어,임순례,"(주)영화사거미,필름트레인",,롯데쇼핑㈜롯데엔터테인먼트,2013-02-06,한국,428,821918,코미디,15세이상관람가
뽀로로 극장판 공룡섬 대모험,"김현호,윤제완",(주)오콘,,(주)넥스트엔터테인먼트월드(NEW),2017-12-07,한국,803,824079,애니메이션,전체관람가
손님,김광태,(주)유비유필름,,씨제이이앤엠(주),2015-07-09,한국,634,827918,판타지,15세이상관람가
체포왕,임찬익,(주)씨네이천,,롯데쇼핑㈜롯데엔터테인먼트,2011-05-04,한국,407,831804,코미디,15세이상관람가
대립군,정윤철,"리얼라이즈픽쳐스(주),이십세기폭스 인터내셔널 프로덕션,(주)베르디미디어,(주)블러썸픽쳐스",,이십세기폭스코리아(주),2017-05-31,한국,809,837500,드라마,15세이상관람가
만추,김태용,(주)에스씨에스엔터테인먼트,,씨제이엔터테인먼트,2011-02-17,한국,444,844103,멜로/로맨스,15세이상관람가
좋아해줘,박현진,"리양필름주식회사,(주)제이케이필름",,씨제이이앤엠(주),2016-02-17,한국,637,848148,멜로/로맨스,12세이상관람가
살인의뢰,손용호,(주)미인픽쳐스,,씨네그루(주)다우기술,2015-03-12,한국,646,855980,범죄,청소년관람불가
인랑,김지운,(주)루이스 픽쳐스,,워너브러더스 코리아(주),2018-07-25,한국,1085,863132,SF,15세이상관람가
미확인 동영상 : 절대클릭금지,김태경,"(주)에이디사공육,(주)다세포클럽",,(주)쇼박스,2012-05-30,한국,361,867386,공포(호러),15세이상관람가
열한시,김현석,"(주)파레토웍스,씨제이이앤엠(주)",,씨제이이앤엠(주),2013-11-28,한국,512,870785,스릴러,15세이상관람가
고死 두 번째 이야기: 교생실습,유선동,(주)코어콘텐츠미디어,,(주)넥스트엔터테인먼트월드(NEW),2010-07-28,한국,320,872594,공포(호러),15세이상관람가
점쟁이들,신정원,"(주)사람엔터테인먼트,(주)다세포클럽",,(주)넥스트엔터테인먼트월드(NEW),2012-10-03,한국,479,900054,코미디,15세이상관람가
뽀로로 극장판 슈퍼썰매 대모험,박영균,"(주)오콘,중국오락문화투자유한회사",,씨제이이앤엠(주),2013-01-23,한국,459,929985,애니메이션,전체관람가
평행이론,권호영,"(주)다세포클럽,씨제이엔터테인먼트",,씨제이엔터테인먼트,2010-02-18,한국,272,937029,스릴러,15세이상관람가
불한당: 나쁜 놈들의 세상,변성현,"씨제이이앤엠(주),(주)바른손",,씨제이이앤엠(주),2017-05-17,한국,860,951797,범죄,청소년관람불가
허삼관,하정우,"(주)두타연,(주)판타지오픽쳐스",,(주)넥스트엔터테인먼트월드(NEW),2015-01-14,한국,621,955175,드라마,12세이상관람가
전국노래자랑,이종필,(주)인앤인픽쳐스,,롯데쇼핑㈜롯데엔터테인먼트,2013-05-01,한국,581,963634,코미디,12세이상관람가
우리는 형제입니다,장진,필름있수다,,(주)쇼박스,2014-10-23,한국,566,970373,코미디,12세이상관람가
"고산자, 대동여지도",강우석,(주)시네마서비스,,씨제이이앤엠(주),2016-09-07,한국,765,971194,사극,전체관람가
돈 크라이 마미,김용한,(주)씨네마골뱅이,,(주)에스비에스콘텐츠허브,2012-11-22,한국,444,975462,스릴러,15세이상관람가
원더풀 라디오,권칠인,"(주)영화사아이비젼,(주)대명문화공장",,(주)쇼박스,2012-01-05,한국,474,977470,드라마,15세이상관람가
미쓰 와이프,강효진,(주)영화사아이비젼,,메가박스중앙(주)플러스엠,2015-08-13,한국,437,984265,코미디,15세이상관람가
시체가 돌아왔다,우선호,(주)씨네이천,,씨제이이앤엠(주),2012-03-29,한국,435,986547,범죄,15세이상관람가
방황하는 칼날,이정호,(주)에코필름,,씨제이이앤엠(주),2014-04-10,한국,594,987420,범죄,청소년관람불가
염력,연상호,(주)영화사레드피터,,(주)넥스트엔터테인먼트월드(NEW),2018-01-31,한국,1099,990111,드라마,15세이상관람가
심장이 뛴다,윤재근,"(주)오죤필름,(유)대결문화산업전문회사",,롯데쇼핑㈜롯데엔터테인먼트,2011-01-05,한국,445,1006947,드라마,15세이상관람가
오직 그대만,송일곤,"(주)51k,(주)에이치비엔터테인먼트",,(주)쇼박스,2011-10-20,한국,435,1027622,멜로/로맨스,15세이상관람가
파괴된 사나이,우민호,"아이러브시네마,(주)아이필름홀딩스",,(주)시너지하우스 (시너지),2010-07-01,한국,190,1030285,드라마,청소년관람불가
점박이:한반도의 공룡3D,한상호,"(주)드림써치C&C,한국교육방송공사 EBS,올리브스튜디오",,씨제이이앤엠(주),2012-01-26,한국,457,1040636,애니메이션,전체관람가
동창생,박홍수,"더램프(주),(주)황금물고기 ",,(주)쇼박스,2013-11-06,한국,660,1044522,액션,15세이상관람가
그놈이다,윤준형,상상필름(주),,CGV아트하우스,2015-10-28,한국,681,1046313,스릴러,15세이상관람가
수상한 고객들,조진모,(주)메이스엔터테인먼트,,씨제이이앤엠(주),2011-04-14,한국,411,1059350,코미디,15세이상관람가
"날, 보러와요",이철하,"(주)오에이엘,(주)발렌타인필름",,메가박스중앙(주)플러스엠,2016-04-07,한국,683,1061412,미스터리,청소년관람불가
오빠생각,이한,(주)조이래빗,,(주)넥스트엔터테인먼트월드(NEW),2016-01-21,한국,855,1069436,드라마,12세이상관람가
베스트셀러,이정호,"(주)에코필름,데이지엔터테인먼트",,(주)시너지하우스 (시너지),2010-04-15,한국,317,1099665,미스터리,15세이상관람가
간신,민규동,(주)수필름,,롯데쇼핑㈜롯데엔터테인먼트,2015-05-21,한국,697,1110246,사극,청소년관람불가
회사원,임상윤,"영화사심미안(주),(주)쇼박스,(주)51k",,(주)쇼박스,2012-10-11,한국,549,1110523,액션,청소년관람불가
특수본,황병국,(주)영화사수박,,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",2011-11-24,한국,471,1118258,액션,15세이상관람가
성난 변호사,허종호,"씨제이이앤엠(주),(주)영화사 빛나는 제국,우수영화사",,씨제이이앤엠(주),2015-10-08,한국,607,1124918,범죄,15세이상관람가
챔피언,김용완,(주)코코너,,워너브러더스 코리아(주),2018-05-01,한국,874,1125329,드라마,12세이상관람가
하루,조선호,(주)라인필름,,CGV아트하우스,2017-06-15,한국,781,1129018,스릴러,15세이상관람가
김종욱 찾기,장유정,(주)수필름,,씨제이엔터테인먼트,2010-12-08,한국,442,1130638,멜로/로맨스,12세이상관람가
고령화 가족,송해성,(주)인벤트스톤,,씨제이이앤엠(주),2013-05-09,한국,583,1139250,드라마,15세이상관람가
용서는 없다,김형준,"㈜더드림앤드픽쳐스,(주)시네마서비스",,(주)시네마서비스,2010-01-07,한국,334,1144238,범죄,청소년관람불가
미씽: 사라진 여자,이언희,다이스필름(주),,메가박스중앙(주)플러스엠,2016-11-30,한국,790,1153109,미스터리,15세이상관람가
슬로우 비디오,김영탁,"이십세기폭스 인터내셔널 프로덕션,(주)영화사AK기쁜우리젊은날",,이십세기폭스코리아(주),2014-10-02,한국,618,1159787,드라마,12세이상관람가
가문의 영광5 - 가문의 귀환,정용기,(주)태원엔터테인먼트,,롯데쇼핑㈜롯데엔터테인먼트,2012-12-19,한국,447,1160021,코미디,15세이상관람가
장수상회,강제규,"(주)빅픽쳐,씨제이이앤엠(주)",,씨제이이앤엠(주),2015-04-09,한국,688,1160935,멜로/로맨스,12세이상관람가
돈의 맛,임상수,휠므빠말주식회사,,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",2012-05-17,한국,643,1165488,드라마,청소년관람불가
동주,이준익,(주) 루스이소니도스,,메가박스중앙(주)플러스엠,2016-02-17,한국,499,1168427,드라마,12세이상관람가
"당신, 거기 있어줄래요",홍지영,(주)수필름,,롯데쇼핑㈜롯데엔터테인먼트,2016-12-14,한국,767,1168625,판타지,12세이상관람가
빅매치,최호,(주)보경사,,(주)넥스트엔터테인먼트월드(NEW),2014-11-27,한국,627,1177438,액션,15세이상관람가
바람 바람 바람,이병헌,(주)하이브미디어코프,,(주)넥스트엔터테인먼트월드(NEW),2018-04-05,한국,985,1183969,코미디,청소년관람불가
더 웹툰: 예고살인,김용균,"(주)필마픽쳐스 ,(주)라인필름,씨제이이앤엠(주)",,씨제이이앤엠(주),2013-06-27,한국,541,1201033,공포(호러),15세이상관람가
해빙,이수연,"위더스필름(주),(주)영화사불",,롯데쇼핑㈜롯데엔터테인먼트,2017-03-01,한국,915,1201576,스릴러,15세이상관람가
R2B: 리턴투베이스,김동원,"(주)주머니필름,(주)빨간마후라,씨제이이앤엠(주)",,씨제이이앤엠(주),2012-08-15,한국,539,1201640,액션,15세이상관람가
시간이탈자,곽재용,"씨제이이앤엠(주),상상필름(주)",,씨제이이앤엠(주),2016-04-13,한국,733,1202058,스릴러,15세이상관람가
깡철이,안권태,"(주)시네마서비스,㈜더드림앤드픽쳐스,㈜팝콘필름",,씨제이이앤엠(주),2013-10-02,한국,707,1204666,드라마,15세이상관람가
악녀,정병길,(주)앞에있다,,(주)넥스트엔터테인먼트월드(NEW),2017-06-08,한국,685,1206917,액션,청소년관람불가
결혼전야,홍지영,(주)수필름,,씨너스엔터테인먼트(주),2013-11-21,한국,524,1212270,멜로/로맨스,15세이상관람가
찌라시: 위험한 소문,김광식,(주)영화사수박,,씨제이이앤엠(주),2014-02-20,한국,560,1221420,범죄,15세이상관람가
특별수사: 사형수의 편지,권종관,(주)콘텐츠케이,,(주)넥스트엔터테인먼트월드(NEW),2016-06-16,한국,691,1225142,범죄,15세이상관람가
심야의 F.M.,김상만,"(주)주말의 명화,(주)홍필름",,롯데쇼핑㈜롯데엔터테인먼트,2010-10-14,한국,422,1228673,스릴러,청소년관람불가
육혈포 강도단,강효진,(주)전망좋은 영화사,,롯데쇼핑㈜롯데엔터테인먼트,2010-03-18,한국,319,1233582,코미디,15세이상관람가
간기남,김형준,"(주)트로피엔터테인먼트,㈜더드림앤드픽쳐스",,(주)쇼박스,2012-04-11,한국,356,1246185,코미디,청소년관람불가
장산범,허정,(주)드림캡쳐,,(주)넥스트엔터테인먼트월드(NEW),2017-08-17,한국,711,1305145,미스터리,15세이상관람가
간첩,우민호,(주)영화사울림,,롯데쇼핑㈜롯데엔터테인먼트,2012-09-20,한국,576,1310895,드라마,15세이상관람가
사라진 밤,이창희,"(주)싸이더스,(주)엠씨엠씨,(주)더블앤조이픽쳐스",,씨네그루(주)키다리이엔티,2018-03-07,한국,925,1314283,스릴러,15세이상관람가
미스터 고,김용화,"(주)덱스터필름,(주)광대무변,(주)컨텐츠아이",,(주)쇼박스,2013-07-17,한국,840,1328890,코미디,12세이상관람가
궁합,홍창표,(주)주피터필름,,씨제이이앤엠(주),2018-02-28,한국,966,1340149,코미디,12세이상관람가
은교,정지우,"정지우 필름,㈜렛츠필름",,롯데쇼핑㈜롯데엔터테인먼트,2012-04-25,한국,521,1346274,멜로/로맨스,청소년관람불가
차형사,신태라,(주)영화사홍,,씨제이이앤엠(주),2012-05-30,한국,433,1346754,코미디,15세이상관람가
특별시민,박인제,(주)팔레트픽처스,,(주)쇼박스,2017-04-26,한국,1154,1362634,드라마,15세이상관람가
브이아이피,박훈정,"(주)영화사 금월,(주)페퍼민트앤컴퍼니",,워너브러더스 코리아(주),2017-08-23,한국,996,1373316,범죄,청소년관람불가
골든슬럼버,노동석,영화사 집,,씨제이이앤엠(주),2018-02-14,한국,833,1387562,범죄,15세이상관람가
기억의 밤,장항준,(주)비에이엔터테인먼트,,"메가박스중앙(주)플러스엠,주식회사 키위컴퍼니",2017-11-29,한국,751,1387599,미스터리,15세이상관람가
구르믈 버서난 달처럼,이준익,"(주)영화사아침,(주)타이거픽쳐스",,에스케이텔레콤(주),2010-04-28,한국,509,1407681,사극,15세이상관람가
런닝맨,조동오,"(주)크리픽쳐스,이십세기폭스 인터내셔널 프로덕션",,이십세기폭스코리아(주),2013-04-04,한국,567,1416053,액션,15세이상관람가
탐정 홍길동: 사라진 마을,조성희,(주)영화사비단길,,씨제이이앤엠(주),2016-05-04,한국,764,1426873,드라마,15세이상관람가
인간중독,김대우,(주)아이언팩키지,,(주)넥스트엔터테인먼트월드(NEW),2014-05-14,한국,682,1441964,멜로/로맨스,청소년관람불가
해무(海霧),심성보,"(주)해무,(주)루이스 픽쳐스",,(주)넥스트엔터테인먼트월드(NEW),2014-08-13,한국,584,1466830,드라마,청소년관람불가
부라더,장유정,"(주)홍필름,(주)수필름",,메가박스중앙(주)플러스엠,2017-11-02,한국,889,1468301,코미디,12세이상관람가
차이나타운,한준희,폴룩스픽쳐스(주),,CGV아트하우스,2015-04-29,한국,551,1472006,범죄,청소년관람불가
리틀 포레스트,임순례,(주)영화사수박,,메가박스중앙(주)플러스엠,2018-02-28,한국,884,1505512,드라마,전체관람가
퍼펙트 게임,박희곤,"(주)동아수출공사,밀리언 스토리,(주)다세포클럽",,롯데쇼핑㈜롯데엔터테인먼트,2011-12-21,한국,413,1507084,드라마,12세이상관람가
용의자X,방은진,"(주)케이앤엔터테인먼트,씨제이이앤엠(주)",,씨제이이앤엠(주),2012-10-18,한국,553,1552055,미스터리,15세이상관람가
무적자,송해성,핑거프린트(주),,씨제이엔터테인먼트,2010-09-16,한국,416,1571432,드라마,15세이상관람가
더 폰,김봉주,(주)미스터로맨스,,(주)넥스트엔터테인먼트월드(NEW),2015-10-22,한국,794,1593694,스릴러,15세이상관람가
두근두근 내 인생,이재용,영화사 집,,씨제이이앤엠(주),2014-09-03,한국,629,1611519,드라마,12세이상관람가
하울링,유하,오퍼스픽쳐스,,씨제이이앤엠(주),2012-02-16,한국,550,1612554,범죄,15세이상관람가
우아한 거짓말,이한,"(주)유비유필름,(주)무비락",,CGV아트하우스,2014-03-13,한국,555,1613392,드라마,12세이상관람가
임금님의 사건수첩,문현성,"(주)영화사람,씨제이이앤엠(주),(주)더타워픽쳐스",,씨제이이앤엠(주),2017-04-26,한국,1054,1634403,코미디,12세이상관람가
공모자들,김홍선,(주)영화사채움,,"씨너스엔터테인먼트(주),타임스토리그룹(주)",2012-08-29,한국,496,1646142,범죄,청소년관람불가
피끓는 청춘,이연우,(주)담소필름,,롯데쇼핑㈜롯데엔터테인먼트,2014-01-22,한국,679,1676040,코미디,15세이상관람가
쎄시봉,김현석,"유한회사 제이필름,(주)무브픽쳐스",,씨제이이앤엠(주),2015-02-05,한국,829,1707487,멜로/로맨스,15세이상관람가
파파로티,윤종찬,케이엠컬쳐㈜,,(주)쇼박스,2013-03-14,한국,552,1713891,드라마,15세이상관람가
평양성,이준익,"(주)영화사아침,(주)타이거픽쳐스",,롯데쇼핑㈜롯데엔터테인먼트,2011-01-27,한국,451,1717566,전쟁,12세이상관람가
러브픽션,전계수,"(주)삼거리픽쳐스,(주)판타지오",,(주)넥스트엔터테인먼트월드(NEW),2012-02-29,한국,617,1726202,멜로/로맨스,15세이상관람가
제보자,임순례,(주)영화사수박,,메가박스중앙(주)플러스엠,2014-10-02,한국,676,1735640,드라마,12세이상관람가
전설의 주먹,강우석,(주)시네마서비스,,씨제이이앤엠(주),2013-04-10,한국,724,1737253,드라마,청소년관람불가
대호,박훈정,(주)사나이픽처스,,(주)넥스트엔터테인먼트월드(NEW),2015-12-16,한국,892,1762742,사극,12세이상관람가
공범,국동석,선샤인필름(주),,씨제이이앤엠(주),2013-10-24,한국,611,1766285,스릴러,15세이상관람가
나의 PS 파트너 ,변성현,나의PS파트너 문화산업전문회사,,씨제이이앤엠(주),2012-12-06,한국,552,1823116,멜로/로맨스,청소년관람불가
악마를 보았다,김지운,"(주)페퍼민트앤컴퍼니,(주)씨즈엔터테인먼트",,(주)쇼박스,2010-08-12,한국,494,1848418,스릴러,청소년관람불가
집으로 가는 길,방은진,"씨제이이앤엠(주),(주)다세포클럽",,씨제이이앤엠(주),2013-12-11,한국,740,1854625,드라마,15세이상관람가
노무현입니다,이창재,영화사 풀,,"CGV아트하우스,영화사 풀",2017-05-25,한국,775,1854867,다큐멘터리,12세이상관람가
코리아,문현성,"(주)더타워픽쳐스,씨제이이앤엠(주),(주)웰메이드스타엠",,씨제이이앤엠(주),2012-05-03,한국,537,1857392,드라마,12세이상관람가
아이들...,이규만,"(주)누리픽쳐스,롯데쇼핑㈜롯데엔터테인먼트",,롯데쇼핑㈜롯데엔터테인먼트,2011-02-17,한국,504,1864408,범죄,15세이상관람가
연애의 온도,노덕,(주)뱅가드스튜디오,,롯데쇼핑㈜롯데엔터테인먼트,2013-03-21,한국,567,1865195,멜로/로맨스,청소년관람불가
해결사,권혁재,(주)외유내강,,"(주)넥스트엔터테인먼트월드(NEW),(주)에스비에스콘텐츠허브",2010-09-09,한국,524,1873327,액션,15세이상관람가
글러브,강우석,(주)시네마서비스,,씨제이엔터테인먼트,2011-01-20,한국,605,1888100,드라마,전체관람가
오늘의 연애,박진표,(주)팝콘에프앤엠,,씨제이이앤엠(주),2015-01-14,한국,709,1891993,멜로/로맨스,15세이상관람가
남자가 사랑할 때,한동욱,"(주)사나이픽처스,필름트레인",,(주)넥스트엔터테인먼트월드(NEW),2014-01-22,한국,531,1979311,멜로/로맨스,15세이상관람가
봉이 김선달,박대민,"(주)엠픽처스,(주)에스엔케이픽처스",,씨제이이앤엠(주),2016-07-06,한국,942,2044564,사극,12세이상관람가
뷰티 인사이드,백,(주)용필름,,(주)넥스트엔터테인먼트월드(NEW),2015-08-20,한국,648,2053947,판타지,12세이상관람가
쩨쩨한 로맨스,김정훈,(주)크리픽쳐스,,롯데쇼핑㈜롯데엔터테인먼트,2010-12-01,한국,463,2080574,코미디,청소년관람불가
내부자들: 디 오리지널,우민호,(유)내부자들 문화전문회사,,(주)쇼박스,2015-12-31,한국,838,2083999,범죄,청소년관람불가
몽타주,정근섭,(주)미인픽쳐스,,(주)넥스트엔터테인먼트월드(NEW),2013-05-16,한국,540,2095375,스릴러,15세이상관람가
굿바이 싱글,김태곤,"호두앤유 엔터테인먼트(주),(주)영화사람",,(주)쇼박스,2016-06-29,한국,841,2108273,코미디,15세이상관람가
나의 사랑 나의 신부,임찬상,필름모멘텀,,씨네그루(주)다우기술,2014-10-08,한국,629,2135614,멜로/로맨스,15세이상관람가
마이 웨이,강제규,(주)디렉터스,,"에스케이플래닛(주),씨제이이앤엠(주)",2011-12-21,한국,645,2142622,전쟁,15세이상관람가
초능력자,김민석,영화사 집,,(주)넥스트엔터테인먼트월드(NEW),2010-11-10,한국,622,2164805,SF,15세이상관람가
황해,나홍진,㈜팝콘필름,,"(주)쇼박스,이십세기폭스코리아(주)",2010-12-22,한국,618,2167426,스릴러,청소년관람불가
강남 1970,유하,"(주)모베라픽처스,(주)쇼박스",,(주)쇼박스,2015-01-21,한국,841,2192172,액션,청소년관람불가
악의 연대기,백운학,(주)비에이엔터테인먼트,,씨제이이앤엠(주),2015-05-14,한국,776,2192243,스릴러,15세이상관람가
마당을 나온 암탉,"오성윤,민성아","(주)오돌또기 ,(주)명필름",,롯데쇼핑㈜롯데엔터테인먼트,2011-07-28,한국,345,2199048,애니메이션,전체관람가
7광구,김지훈,"(주)제이케이필름,씨제이이앤엠(주)",,씨제이이앤엠(주),2011-08-04,한국,812,2232179,SF,15세이상관람가
하녀,임상수,"(주)싸이더스,(주)미로비젼",,(주)싸이더스,2010-05-13,한국,577,2304487,스릴러,청소년관람불가
라스트 갓파더,심형래,㈜영구아트,,씨제이엔터테인먼트,2010-12-29,한국,547,2316099,코미디,12세이상관람가
박열,이준익,(유)박열문화전문회사,,메가박스중앙(주)플러스엠,2017-06-28,한국,1176,2359174,드라마,12세이상관람가
블라인드,안상훈,(주)문와쳐,,(주)넥스트엔터테인먼트월드(NEW),2011-08-10,한국,404,2362906,스릴러,청소년관람불가
가문의 영광4 - 가문의 수난,정태원,(주)태원엔터테인먼트,,(주)넥스트엔터테인먼트월드(NEW),2011-09-07,한국,537,2363955,코미디,15세이상관람가
화이: 괴물을 삼킨 아이,장준환,"나우필름(주),파인하우스필름(주),(주)쇼박스",,(주)쇼박스,2013-10-09,한국,817,2391963,액션,청소년관람불가
의뢰인,손영성,청년필름(주),,(주)쇼박스,2011-09-29,한국,522,2393086,스릴러,15세이상관람가
재심,김태윤,(주)이디오플랜,,"오퍼스픽쳐스,CGV아트하우스",2017-02-15,한국,935,2420729,드라마,15세이상관람가
조선명탐정: 흡혈괴마의 비밀,김석윤,청년필름(주),,(주)쇼박스,2018-02-08,한국,1249,2424387,사극,12세이상관람가
이웃사람,김휘,"영화사 무쇠팔,플로우식스(주),자이온 이엔티(주),(주)누리픽쳐스,히트박스,(주)미스터로맨스",,롯데쇼핑㈜롯데엔터테인먼트,2012-08-22,한국,600,2434099,스릴러,청소년관람불가
화차,변영주,(주)영화제작소보임,,필라멘트픽쳐스,2012-03-08,한국,548,2435211,미스터리,15세이상관람가
반창꼬,정기훈,(주)영화사오름,,(주)넥스트엔터테인먼트월드(NEW),2012-12-19,한국,466,2471721,멜로/로맨스,15세이상관람가
조작된 도시,박광현,"(주)티피에스컴퍼니,(주)영화사심플렉스,컬쳐메이트",,씨제이이앤엠(주),2017-02-09,한국,1019,2512572,범죄,15세이상관람가
기술자들,김홍선,(주)트리니티엔터테인먼트,,롯데쇼핑㈜롯데엔터테인먼트,2014-12-24,한국,641,2564340,범죄,15세이상관람가
